Season,Part,Date,Time,Venue,Attendance,H_Team,A_Team,Referee,H_HT_Goals,A_HT_Goals,H_FT_Goals,A_FT_Goals,H_Ratings,A_Ratings,H_ShotsTotal,A_ShotsTotal,H_ShotsOnPost,A_ShotsOnPost,H_ShotsOnTarget,A_ShotsOnTarget,H_ShotsOffTarget,A_ShotsOffTarget,H_ShotsBlocked,A_ShotsBlocked,H_Possession,A_Possession,H_Touches,A_Touches,H_PassSuccess,A_PassSuccess,H_PassesTotal,A_PassesTotal,H_PassesAccurate,A_PassesAccurate,H_PassesKey,A_PassesKey,H_DribblesWon,A_DribblesWon,H_DribblesAttempted,A_DribblesAttempted,H_DribbledPast,A_DribbledPast,H_DribbleSuccess,A_DribbleSuccess,H_AerialsWon,A_AerialsWon,H_AerialSuccess,A_AerialSuccess,H_OffensiveAerials,A_OffensiveAerials,H_DefensiveAerials,A_DefensiveAerials,H_TackleSuccessful,A_TackleSuccessful,H_TacklesTotal,A_TacklesTotal,H_TackleUnsuccesful,A_TackleUnsuccesful,H_TackleSuccess,A_TackleSuccess,H_Clearances,A_Clearances,H_Interceptions,A_Interceptions,H_CornersTotal,A_CornersTotal,H_CornerAccuracy,A_CornerAccuracy,H_Dispossessed,A_Dispossessed,H_Errors,A_Errors,H_FoulsCommited,A_FoulsCommited,H_OffsidesCaught,A_OffsidesCaught,H_Events,A_Events
2013/2014,Champions League Final Stage,2014/5/24,19:45,Estádio da Luz,0,Real Madrid,Atletico,Björn Kuipers,0,1,1,1,7.45,6.68,20,11,0,0,9,4,8,5,3,2,62.5,37.5,916,626,84,66,674,407,565,267,12,8,20,7,38,12,7,20,53,58,26,23,53,47,15,34,34,15,19,40,26,60,7,20,73,67,43,29,16,31,9,9,56,11,22,14,1,1,19,27,0,4,yellow-card(27);error-to-goal(36);yellow-card(46);goal(93);goal(110);goal(118);yellow-card(119);penalty_scored(120);yellow-card(121);yellow-card(123),yellow-card(27);goal(36);yellow-card(53);yellow-card(72);yellow-card(74);yellow-card(86);yellow-card(100);yellow-card(120);red-card(123)
2013/2014,Champions League Final Stage,2014/4/29,19:45,Allianz Arena,0,Bayern,Real Madrid,Pedro Proença Oliveira Alves Garcia,0,3,0,4,6.10,7.59,19,13,0,0,4,5,7,6,8,2,0,0,828,470,89,74,663,294,592,219,15,6,14,9,26,13,9,14,54,69,10,9,53,47,12,7,7,12,8,23,17,37,9,14,47,62,20,35,6,17,9,3,44,67,11,4,2,0,13,7,0,3,yellow-card(17),goal(16);goal(20);goal(34);yellow-card(39);goal(89)
2013/2014,Champions League Final Stage,2014/4/30,19:45,Stamford Bridge,0,Chelsea,Atletico,Nicola Rizzoli,1,1,1,3,6.61,7.01,16,13,1,0,5,8,6,1,5,4,0,0,588,621,83,85,394,432,326,366,10,7,12,9,22,18,9,12,55,50,20,13,61,39,21,12,12,21,29,20,38,32,9,12,76,63,35,32,17,16,4,9,25,22,10,20,3,0,12,18,0,1,yellow-card(31);goal(36);shot-on-post(64),goal(44);yellow-card(60);penalty_scored(60);yellow-card(65);goal(72)
2013/2014,Champions League Final Stage,2014/4/22,19:45,Vicente Calderón,0,Atletico,Chelsea,Jonas Eriksson,0,0,0,0,6.75,6.97,25,5,0,0,4,2,14,2,7,1,0,0,695,436,84,63,522,259,436,163,22,2,5,12,10,17,12,5,50,71,16,22,42,58,21,17,17,21,17,12,29,17,12,5,59,71,19,64,5,12,6,4,33,0,7,12,0,0,13,16,5,0,yellow-card(75);yellow-card(89),yellow-card(64);yellow-card(75);yellow-card(95)
2013/2014,Champions League Final Stage,2014/4/23,19:45,Santiago Bernabéu,0,Real Madrid,Bayern,Howard Webb,1,0,1,0,7.11,6.85,9,18,0,0,5,4,3,5,1,9,0,0,454,891,79,89,285,719,225,643,9,16,3,11,10,23,11,3,30,48,11,23,32,68,16,18,18,16,19,17,30,20,11,3,63,85,43,26,15,6,3,15,100,60,10,7,1,1,10,10,4,3,goal(19);yellow-card(57),
2013/2014,Champions League Final Stage,2014/4/08,19:45,Signal Iduna Park,0,Borussia Dortmund,Real Madrid,Damir Skomina,2,0,2,0,7.63,6.60,12,10,1,0,6,5,4,5,2,0,0,0,739,710,83,82,549,544,453,444,7,8,15,12,26,27,12,15,58,44,12,15,44,56,22,5,5,22,26,24,38,39,12,15,68,62,24,28,20,17,4,2,50,50,13,11,0,2,10,10,1,0,penalty_saved(17);goal(24);goal(37);shot-on-post(65);yellow-card(75);yellow-card(82);yellow-card(93),penalty-missed(17);error-to-goal(24);yellow-card(27);yellow-card(31);error-to-goal(37);yellow-card(68);yellow-card(83);yellow-card(92)
2013/2014,Champions League Final Stage,2014/4/08,19:45,Stamford Bridge,0,Chelsea,PSG,Pedro Proença Oliveira Alves Garcia,1,0,2,0,7.26,6.50,15,12,2,0,4,3,4,7,7,2,0,0,586,571,81,81,432,404,350,328,9,9,9,11,22,14,11,9,41,79,18,17,51,49,22,13,13,22,17,21,28,30,11,9,61,70,27,33,12,13,4,4,25,25,8,14,0,0,18,11,0,6,yellow-card(23);goal(32);yellow-card(41);shot-on-post(52);shot-on-post(53);yellow-card(55);yellow-card(82);goal(87),yellow-card(27);yellow-card(40);yellow-card(52);yellow-card(79)
2013/2014,Champions League Final Stage,2014/4/09,19:45,Allianz Arena,0,Bayern,Man Utd,Jonas Eriksson,0,0,3,1,7.36,6.62,25,6,0,0,5,2,11,2,9,2,0,0,740,480,84,67,544,308,457,205,18,6,9,8,27,14,8,9,33,57,21,17,55,45,15,23,23,15,18,21,26,30,8,9,69,70,27,33,14,20,11,3,36,0,3,12,0,1,10,11,2,3,goal(59);goal(68);yellow-card(73);goal(76),yellow-card(28);goal(57);yellow-card(70)
2013/2014,Champions League Final Stage,2014/4/09,19:45,Vicente Calderón,0,Atletico,Barcelona,Howard Webb,1,0,1,0,7.49,6.65,14,12,3,0,5,3,6,6,3,3,0,0,465,860,64,88,275,657,177,578,12,9,10,18,17,36,18,10,59,50,23,8,74,26,26,5,5,26,38,24,56,34,18,10,68,71,38,22,18,12,6,7,67,43,17,20,0,3,15,9,4,0,shot-on-post(5);goal(5);shot-on-post(11);shot-on-post(19);yellow-card(91),yellow-card(18);yellow-card(92);yellow-card(93)
2013/2014,Champions League Final Stage,2014/4/01,19:45,Camp Nou,79941,Barcelona,Atletico,Dr. Felix Brych,0,0,1,1,7.16,6.82,19,6,0,0,6,2,8,2,5,2,0,0,937,478,90,68,743,311,665,210,14,2,19,4,43,15,4,19,44,27,10,9,53,47,7,12,12,7,26,37,30,56,4,19,87,66,11,22,17,22,8,1,50,100,13,15,1,0,16,24,0,3,yellow-card(56);yellow-card(58);goal(71),yellow-card(19);yellow-card(38);yellow-card(44);yellow-card(52);goal(56);yellow-card(80);yellow-card(92)
