Season,Part,Date,Time,Venue,Attendance,H_Team,A_Team,Referee,H_HT_Goals,A_HT_Goals,H_FT_Goals,A_FT_Goals,H_Ratings,A_Ratings,H_ShotsTotal,A_ShotsTotal,H_ShotsOnPost,A_ShotsOnPost,H_ShotsOnTarget,A_ShotsOnTarget,H_ShotsOffTarget,A_ShotsOffTarget,H_ShotsBlocked,A_ShotsBlocked,H_Possession,A_Possession,H_Touches,A_Touches,H_PassSuccess,A_PassSuccess,H_PassesTotal,A_PassesTotal,H_PassesAccurate,A_PassesAccurate,H_PassesKey,A_PassesKey,H_DribblesWon,A_DribblesWon,H_DribblesAttempted,A_DribblesAttempted,H_DribbledPast,A_DribbledPast,H_DribbleSuccess,A_DribbleSuccess,H_AerialsWon,A_AerialsWon,H_AerialSuccess,A_AerialSuccess,H_OffensiveAerials,A_OffensiveAerials,H_DefensiveAerials,A_DefensiveAerials,H_TackleSuccessful,A_TackleSuccessful,H_TacklesTotal,A_TacklesTotal,H_TackleUnsuccesful,A_TackleUnsuccesful,H_TackleSuccess,A_TackleSuccess,H_Clearances,A_Clearances,H_Interceptions,A_Interceptions,H_CornersTotal,A_CornersTotal,H_CornerAccuracy,A_CornerAccuracy,H_Dispossessed,A_Dispossessed,H_Errors,A_Errors,H_FoulsCommited,A_FoulsCommited,H_OffsidesCaught,A_OffsidesCaught,H_Events,A_Events
2012/2013,Champions League Final Stage,2013/5/25,19:45,Wembley Stadium,0,Borussia Dortmund,Bayern,Nicola Rizzoli,0,0,1,2,6.90,7.11,12,17,0,0,7,10,2,4,3,3,0,0,539,711,72,78,334,519,240,404,10,11,11,11,22,30,11,11,50,37,15,28,35,65,0,0,0,0,23,23,34,34,11,11,68,68,43,20,20,15,6,8,0,63,12,4,1,0,11,8,1,4,penalty_scored(68);clearance-off-the-line(72);yellow-card(73),yellow-card(29);goal(60);yellow-card(73);goal(89)
2012/2013,Champions League Final Stage,2013/4/30,19:45,Santiago Bernabéu,0,Real Madrid,Borussia Dortmund,Howard Webb,0,0,2,0,7.53,6.69,23,9,0,0,7,3,11,3,5,3,65.1,34.9,902,607,81,70,597,333,486,234,17,7,13,6,30,16,6,13,43,38,25,13,66,34,0,0,0,0,30,37,36,50,6,13,83,74,29,66,20,27,10,3,20,0,20,20,0,1,14,19,7,6,yellow-card(26);yellow-card(43);yellow-card(79);yellow-card(81);goal(82);goal(88),yellow-card(43);yellow-card(46);yellow-card(83)
2012/2013,Champions League Final Stage,2013/5/01,19:45,Camp Nou,0,Barcelona,Bayern,Damir Skomina,0,0,0,3,6.42,7.35,15,8,1,0,4,2,6,4,5,2,0,0,820,625,86,80,649,438,561,350,13,8,8,12,19,21,12,8,42,57,9,11,45,55,0,0,0,0,21,25,33,33,12,8,64,76,8,21,33,26,4,0,50,0,14,12,0,0,13,13,0,4,yellow-card(46);shot-on-post(74);yellow-card(78),yellow-card(32);goal(48);own-goal(72);goal(76)
2012/2013,Champions League Final Stage,2013/4/23,19:45,Allianz Arena,0,Bayern,Barcelona,Viktor Kassai,1,0,4,0,7.27,6.14,15,4,0,0,7,1,5,2,3,1,0,0,489,813,81,90,338,670,275,606,13,4,5,14,16,21,14,5,31,67,11,4,73,27,0,0,0,0,26,21,40,26,14,5,65,81,10,18,19,6,11,4,45,50,10,19,0,1,16,10,3,1,goal(25);yellow-card(37);yellow-card(46);goal(49);goal(73);goal(82);yellow-card(87),yellow-card(39);yellow-card(87);yellow-card(89);yellow-card(92)
2012/2013,Champions League Final Stage,2013/4/24,19:45,Signal Iduna Park,0,Borussia Dortmund,Real Madrid,Björn Kuipers,1,1,4,1,7.21,6.48,14,9,0,0,7,4,4,2,3,3,0,0,588,665,79,77,387,484,304,374,6,7,12,7,24,15,7,12,50,47,14,18,44,56,0,0,0,0,29,25,36,37,7,12,81,68,38,28,14,17,4,2,0,50,13,21,1,0,12,14,3,5,goal(8);error-to-goal(43);goal(50);goal(55);penalty_scored(67);yellow-card(70),goal(43);yellow-card(54);yellow-card(64);yellow-card(92)
2012/2013,Champions League Final Stage,2013/4/09,19:45,Signal Iduna Park,0,Borussia Dortmund,Malaga,Craig Thomson,1,1,3,2,7.15,6.63,16,8,0,0,9,5,4,2,3,1,0,0,723,517,79,67,520,320,409,214,10,6,8,9,13,19,9,8,62,47,23,18,56,44,0,0,0,0,19,13,28,21,9,8,68,62,59,63,12,19,7,2,14,0,8,9,0,1,12,13,6,1,yellow-card(10);goal(40);yellow-card(60);goal(91);goal(92),goal(25);yellow-card(62);goal(82);yellow-card(88);clearance-off-the-line(92)
2012/2013,Champions League Final Stage,2013/4/09,19:45,Türk Telekom Arena,0,Galatasaray,Real Madrid,Stéphane Lannoy,0,1,3,2,6.89,6.60,13,9,0,0,5,5,5,2,3,2,0,0,671,537,85,78,515,407,440,318,9,7,9,10,14,13,10,9,64,77,12,3,80,20,0,0,0,0,13,13,23,22,10,9,57,59,19,22,21,12,4,3,50,33,8,10,1,1,21,15,2,3,yellow-card(20);yellow-card(45);goal(57);goal(71);goal(72);yellow-card(94),goal(8);second-yellow(90);goal(92)
2012/2013,Champions League Final Stage,2013/4/10,19:45,Camp Nou,0,Barcelona,PSG,Björn Kuipers,0,0,1,1,6.85,7.01,23,16,0,0,2,8,9,5,12,3,0,0,796,518,89,78,623,367,552,285,15,13,15,10,21,11,10,15,71,91,6,20,23,77,0,0,0,0,4,23,14,38,10,15,29,61,20,16,12,25,7,5,43,80,17,3,0,0,11,16,2,5,yellow-card(42);goal(71),goal(50);yellow-card(80);yellow-card(86);yellow-card(90)
2012/2013,Champions League Final Stage,2013/4/10,19:45,Juventus Stadium,0,Juventus,Bayern,Carlos Velasco Carballo,0,0,0,2,6.63,7.36,12,19,0,1,3,7,4,9,5,3,0,0,560,744,79,85,391,548,307,468,8,15,7,8,13,19,8,7,54,42,8,13,38,62,0,0,0,0,18,11,26,18,8,7,69,61,29,27,31,30,3,6,67,0,5,7,0,0,13,16,5,2,yellow-card(13),yellow-card(7);shot-on-post(57);goal(64);goal(91)
2012/2013,Champions League Final Stage,2013/4/02,19:45,Parc des Princes,0,PSG,Barcelona,Wolfgang Stark,0,1,2,2,6.94,6.75,14,15,2,0,5,5,6,4,3,6,0,0,487,813,80,91,310,661,248,599,10,9,13,10,21,15,10,13,62,67,19,5,79,21,0,0,0,0,23,21,33,34,10,13,70,62,17,17,23,7,4,7,50,14,13,18,2,0,13,13,5,1,shot-on-post(5);yellow-card(65);yellow-card(68);shot-on-post(79);goal(79);yellow-card(87);yellow-card(89);goal(94),yellow-card(18);goal(38);yellow-card(62);yellow-card(75);yellow-card(85);penalty_scored(89)
