Season,Part,Date,Time,Venue,Attendance,H_Team,A_Team,Referee,H_HT_Goals,A_HT_Goals,H_FT_Goals,A_FT_Goals,H_Ratings,A_Ratings,H_ShotsTotal,A_ShotsTotal,H_ShotsOnPost,A_ShotsOnPost,H_ShotsOnTarget,A_ShotsOnTarget,H_ShotsOffTarget,A_ShotsOffTarget,H_ShotsBlocked,A_ShotsBlocked,H_Possession,A_Possession,H_Touches,A_Touches,H_PassSuccess,A_PassSuccess,H_PassesTotal,A_PassesTotal,H_PassesAccurate,A_PassesAccurate,H_PassesKey,A_PassesKey,H_DribblesWon,A_DribblesWon,H_DribblesAttempted,A_DribblesAttempted,H_DribbledPast,A_DribbledPast,H_DribbleSuccess,A_DribbleSuccess,H_AerialsWon,A_AerialsWon,H_AerialSuccess,A_AerialSuccess,H_OffensiveAerials,A_OffensiveAerials,H_DefensiveAerials,A_DefensiveAerials,H_TackleSuccessful,A_TackleSuccessful,H_TacklesTotal,A_TacklesTotal,H_TackleUnsuccesful,A_TackleUnsuccesful,H_TackleSuccess,A_TackleSuccess,H_Clearances,A_Clearances,H_Interceptions,A_Interceptions,H_CornersTotal,A_CornersTotal,H_CornerAccuracy,A_CornerAccuracy,H_Dispossessed,A_Dispossessed,H_Errors,A_Errors,H_FoulsCommited,A_FoulsCommited,H_OffsidesCaught,A_OffsidesCaught,H_Events,A_Events
2015/2016,Champions League Final Stage,2016/5/28,19:45,Giuseppe Meazza,71942,Real Madrid,Atletico,Mark Clattenburg,1,0,1,1,7.26,7.04,25,17,0,1,8,4,6,11,11,3,47.7,52.3,830,879,85,83,580,635,494,527,20,13,16,17,23,32,17,16,70,53,28,15,65,35,15,28,28,15,28,27,45,43,17,16,62,63,37,24,29,17,7,6,57,17,20,13,0,0,18,16,0,2,yellow-card(11);goal(15);yellow-card(47);yellow-card(79);yellow-card(93);yellow-card(93);yellow-card(112),penalty-missed(48);yellow-card(61);clearance-off-the-line(78);goal(79);yellow-card(93)
2015/2016,Champions League Final Stage,2016/5/03,19:45,Allianz Arena,70000,Bayern,Atletico,Cüneyt Çakir,1,0,2,1,7.04,6.90,33,7,0,0,11,4,13,2,9,1,72.7,27.3,848,445,85,57,653,254,556,145,21,5,10,7,20,15,7,10,50,47,15,25,38,63,28,12,12,28,13,24,20,34,7,10,65,71,4,45,13,21,12,2,25,0,14,5,0,1,14,10,3,2,goal(31);penalty-missed(34);goal(74);yellow-card(84);penalty_saved(84),yellow-card(33);penalty_saved(34);goal(54);penalty-missed(84)
2015/2016,Champions League Final Stage,2016/5/04,19:45,Santiago Bernabéu,78300,Real Madrid,Man City,Damir Skomina,1,0,1,0,7.17,6.48,15,5,1,1,5,1,5,4,5,0,55.1,44.9,728,601,88,83,551,448,485,373,13,4,24,8,35,16,8,24,69,50,9,12,43,57,13,8,8,13,22,21,30,45,8,24,73,47,17,18,17,12,5,3,40,33,10,14,0,0,5,10,5,2,own-goal(20);shot-on-post(64);yellow-card(83),yellow-card(30);shot-on-post(44);yellow-card(71);yellow-card(94)
2015/2016,Champions League Final Stage,2016/4/26,19:45,Etihad Stadium,52221,Man City,Real Madrid,Cüneyt Çakir,0,0,0,0,6.83,7.09,4,13,0,1,1,3,2,6,1,4,45.3,54.7,652,770,81,84,499,605,403,507,3,10,9,24,15,32,24,9,60,75,7,17,29,71,18,6,6,18,18,15,42,24,24,9,43,63,23,16,28,18,4,6,25,50,9,10,0,0,20,12,1,2,yellow-card(37),yellow-card(24);shot-on-post(71);yellow-card(92)
2015/2016,Champions League Final Stage,2016/4/27,19:45,Vicente Calderón,52127,Atletico,Bayern,Mark Clattenburg,1,0,1,0,7.49,6.69,11,20,1,1,5,7,2,9,4,4,26.2,73.8,440,924,63,87,253,707,159,614,7,17,13,16,29,30,16,13,45,53,22,15,59,41,22,15,15,22,37,22,53,35,16,13,70,63,15,13,25,6,5,5,0,60,6,23,1,0,7,12,2,0,goal(11);shot-on-post(75);yellow-card(84),yellow-card(40);shot-on-post(54);yellow-card(82);yellow-card(82);yellow-card(88)
2015/2016,Champions League Final Stage,2016/4/12,19:45,Santiago Bernabéu,76684,Real Madrid,Wolfsburg,Viktor Kassai,2,0,3,0,7.53,6.29,16,9,2,0,7,3,5,3,4,3,58.2,41.8,735,569,87,82,572,421,499,344,10,7,14,5,24,10,5,14,58,50,21,14,60,40,17,18,18,17,13,18,18,32,5,14,72,56,15,27,12,12,12,4,50,25,8,8,0,0,10,9,5,3,shot-on-post(6);goal(16);goal(17);shot-on-post(66);goal(77);yellow-card(80),yellow-card(47);yellow-card(76);yellow-card(85);yellow-card(91)
2015/2016,Champions League Final Stage,2016/4/12,19:45,Etihad Stadium,53039,Man City,PSG,Carlos Velasco Carballo,0,0,1,0,6.95,6.56,9,6,0,0,1,4,7,1,1,1,35.7,64.3,539,852,74,85,386,711,285,603,7,3,12,16,14,26,16,12,86,62,12,21,36,64,18,15,15,18,20,16,36,28,16,12,56,57,23,19,13,12,6,5,67,60,14,10,0,2,18,13,2,4,penalty-missed(30);yellow-card(72);goal(76),yellow-card(29);yellow-card(67);yellow-card(68)
2015/2016,Champions League Final Stage,2016/4/13,19:45,Estádio da Luz,63235,Benfica,Bayern,Björn Kuipers,1,1,2,2,6.73,6.84,9,15,0,1,5,7,2,6,2,2,26.2,73.8,392,857,67,90,241,697,162,629,4,11,16,12,23,23,12,16,70,52,12,21,36,64,21,12,12,21,15,17,27,33,12,16,56,52,21,21,12,11,3,6,0,83,10,5,0,1,9,10,2,3,goal(27);yellow-card(70);red-card(75);goal(76);yellow-card(91),error-to-goal(27);goal(38);goal(52);shot-on-post(60);yellow-card(74)
2015/2016,Champions League Final Stage,2016/4/13,19:45,Vicente Calderón,52851,Atletico,Barcelona,Nicola Rizzoli,1,0,2,0,7.18,6.49,9,13,1,0,6,4,2,3,1,6,22.9,77.1,371,858,62,87,198,682,122,594,7,9,6,14,17,26,14,6,35,54,14,8,64,36,15,7,7,15,23,21,37,27,14,6,62,78,29,11,21,11,1,5,0,60,10,11,0,0,20,10,2,0,goal(36);shot-on-post(53);yellow-card(68);yellow-card(85);penalty_scored(88);yellow-card(90);yellow-card(95),yellow-card(71);yellow-card(76);yellow-card(87);yellow-card(91)
2015/2016,Champions League Final Stage,2016/4/05,19:45,Allianz Arena,70000,Bayern,Benfica,Szymon Marciniak,1,0,1,0,7.13,6.47,16,10,0,0,6,1,8,5,2,4,68.2,31.8,802,427,88,70,634,298,561,208,14,4,14,9,28,16,9,14,50,56,16,20,44,56,12,24,24,12,15,17,24,31,9,14,63,55,25,18,12,10,5,2,100,0,3,8,0,0,11,12,5,2,goal(2);yellow-card(22);yellow-card(42),yellow-card(58);yellow-card(62)
