Season,Part,Date,Time,Venue,Attendance,H_Team,A_Team,Referee,H_HT_Goals,A_HT_Goals,H_FT_Goals,A_FT_Goals,H_Ratings,A_Ratings,H_ShotsTotal,A_ShotsTotal,H_ShotsOnPost,A_ShotsOnPost,H_ShotsOnTarget,A_ShotsOnTarget,H_ShotsOffTarget,A_ShotsOffTarget,H_ShotsBlocked,A_ShotsBlocked,H_Possession,A_Possession,H_Touches,A_Touches,H_PassSuccess,A_PassSuccess,H_PassesTotal,A_PassesTotal,H_PassesAccurate,A_PassesAccurate,H_PassesKey,A_PassesKey,H_DribblesWon,A_DribblesWon,H_DribblesAttempted,A_DribblesAttempted,H_DribbledPast,A_DribbledPast,H_DribbleSuccess,A_DribbleSuccess,H_AerialsWon,A_AerialsWon,H_AerialSuccess,A_AerialSuccess,H_OffensiveAerials,A_OffensiveAerials,H_DefensiveAerials,A_DefensiveAerials,H_TackleSuccessful,A_TackleSuccessful,H_TacklesTotal,A_TacklesTotal,H_TackleUnsuccesful,A_TackleUnsuccesful,H_TackleSuccess,A_TackleSuccess,H_Clearances,A_Clearances,H_Interceptions,A_Interceptions,H_CornersTotal,A_CornersTotal,H_CornerAccuracy,A_CornerAccuracy,H_Dispossessed,A_Dispossessed,H_Errors,A_Errors,H_FoulsCommited,A_FoulsCommited,H_OffsidesCaught,A_OffsidesCaught,H_Events,A_Events
2021/2022,Champions League Group Stages,2021/12/07,17:45,Parc des Princes,47492,PSG,Club Bruges,Jesús Gil Manzano,3,0,4,1,7.08,6.35,17,15,0,0,9,6,4,6,4,3,60.4,39.6,837,597,89,83,660,419,590,346,13,10,11,10,15,13,10,11,73,77,4,5,44,56,3,6,6,3,13,15,23,26,10,11,57,58,19,12,8,13,7,6,100,17,11,10,0,0,10,9,1,3,goal(2);goal(7);goal(38);yellow-card(55);yellow-card(70);penalty_scored(76),yellow-card(61);goal(68)
2021/2022,Champions League Group Stages,2021/12/07,17:45,Red Bull Arena,0,RBL,Man City,Sandro Schärer,1,0,2,1,6.57,6.46,9,13,0,0,5,3,2,5,2,5,44.4,55.6,578,697,84,87,451,556,378,483,8,10,5,3,10,6,3,5,50,50,4,11,27,73,4,11,11,4,4,11,7,16,3,5,57,69,14,5,7,11,2,9,0,78,6,1,0,0,19,8,1,6,yellow-card(14);goal(24);goal(71);yellow-card(91),yellow-card(30);goal(76);yellow-card(81);red-card(82)
2021/2022,Champions League Group Stages,2021/12/07,20:00,Estádio do Dragão,38830,Porto,Atletico,Clément Turpin,0,0,1,3,6.30,6.95,14,14,0,0,6,7,2,4,6,3,68,32,719,443,83,64,525,251,436,160,10,7,11,8,23,10,8,11,48,80,17,16,52,48,23,10,10,23,11,19,19,30,8,11,58,63,12,30,8,16,7,4,43,25,7,9,1,0,12,15,1,1,yellow-card(32);clearance-off-the-line(60);yellow-card(67);yellow-card(69);red-card(71);red-card(75);error-to-goal(92);clearance-off-the-line(92);penalty_scored(96),goal(56);red-card(67);yellow-card(67);goal(90);goal(92)
2021/2022,Champions League Group Stages,2021/12/07,20:00,Giuseppe Meazza,56237,AC Milan,Liverpool,Danny Makkelie,1,1,1,2,6.40,6.71,8,22,0,0,3,7,3,8,2,7,48.6,51.4,638,668,78,82,439,459,344,375,6,15,8,9,11,19,9,8,73,47,12,13,48,52,12,13,13,12,20,15,29,23,9,8,69,65,16,13,14,12,3,9,67,33,12,10,2,0,13,17,3,1,goal(29);error-to-goal(36);error-to-goal(55),goal(36);goal(55)
2021/2022,Champions League Group Stages,2021/12/07,20:00,Santiago Bernabéu,46887,Real Madrid,Inter,Dr. Felix Brych,1,0,2,0,6.96,6.21,15,17,1,0,5,3,7,9,3,5,50.2,49.8,701,680,91,91,564,538,516,492,15,15,7,5,9,7,5,7,78,71,12,4,75,25,4,12,12,4,6,12,11,19,5,7,55,63,17,9,10,11,5,7,40,71,10,4,0,0,5,10,0,0,goal(17);shot-on-post(45);yellow-card(64);goal(79),yellow-card(54);red-card(64);yellow-card(74)
2021/2022,Champions League Group Stages,2021/12/07,20:00,Kiev Olympic Stadium,6841,Shakhtar,FC Sheriff,Donatas Rumsas,1,0,1,1,6.73,6.69,20,12,2,0,5,4,12,6,3,2,68.7,31.3,860,458,91,77,669,293,608,227,15,8,15,10,25,15,10,15,60,67,5,5,50,50,4,6,6,4,11,22,21,37,10,15,52,59,12,15,9,14,7,2,29,50,12,6,0,0,6,15,3,3,yellow-card(10);shot-on-post(24);goal(42);shot-on-post(44);yellow-card(78),yellow-card(18);yellow-card(83);goal(93)
2021/2022,Champions League Group Stages,2021/12/07,20:00,SIGNAL IDUNA PARK,15000,Borussia Dortmund,Besiktas,François Letexier,2,0,5,0,7.50,5.81,29,1,0,0,7,0,12,1,10,0,70,30,886,474,89,73,718,304,637,222,23,1,21,6,27,13,6,21,78,46,11,10,52,48,10,11,11,10,13,20,19,41,6,21,68,49,5,21,6,11,9,0,67,0,14,6,0,0,12,7,1,0,goal(29);penalty_scored(47);goal(53);goal(68);goal(81),yellow-card(31);yellow-card(39);red-card(43);yellow-card(44)
2021/2022,Champions League Group Stages,2021/12/07,20:00,Johan Cruijff Arena,0,Ajax,Sporting,Davide Massa,2,1,4,2,6.85,6.30,16,10,1,0,7,4,5,3,4,3,58.1,41.9,772,622,87,84,605,435,528,365,13,9,6,6,10,14,6,6,60,43,8,5,62,38,5,8,8,5,20,15,26,21,6,6,77,71,8,11,7,14,7,3,86,67,11,12,0,1,19,9,1,0,penalty_scored(8);goal(42);yellow-card(44);yellow-card(54);goal(58);goal(62);shot-on-post(68),yellow-card(8);goal(22);yellow-card(36);error-to-goal(42);goal(78)
2021/2022,Champions League Group Stages,2021/12/08,17:45,Allianz Stadium,17501,Juventus,Malmoe FF,Irfan Peljto,1,0,1,0,6.89,6.40,16,6,0,0,7,2,8,2,1,2,59,41,828,623,87,78,633,441,549,344,11,5,8,12,11,16,12,8,73,75,11,10,52,48,11,10,10,11,30,11,42,19,12,8,71,58,8,15,10,13,4,2,25,50,8,26,0,0,6,11,0,0,goal(18);yellow-card(90),yellow-card(49);yellow-card(68);yellow-card(80)
2021/2022,Champions League Group Stages,2021/12/08,17:45,Saint Petersburg Stadium,29349,Zenit,Chelsea,Serdar Gözübüyük,2,1,3,3,6.63,6.82,18,13,0,0,7,8,5,2,6,3,46.1,53.9,627,696,83,87,444,524,367,458,15,12,7,4,11,10,4,7,64,40,9,15,38,63,11,13,13,11,12,13,16,20,4,7,75,65,16,20,9,11,10,8,60,38,9,6,2,0,5,8,2,1,goal(38);goal(41);yellow-card(60);goal(94),goal(2);yellow-card(37);goal(62);goal(85)
