VENUE,H_TEAM,LAT,LNG,LOCATION,MANUAL_ENTRY
Stade Parsemain,SC Bastia,43.469034,4.9491936,"Fos-sur-Mer, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, France",False
Stade Pierre Mauroy,Lille,50.6119667,3.1304899,"Villeneuve-d'Ascq, Nord, Hauts-de-France, France",False
Stade Pierre-Mauroy,Lille,50.6119667,3.1304899,"Villeneuve-d'Ascq, Nord, Hauts-de-France, France",False
Stade Raymond-Kopa,Angers,47.4610005,-0.5307170999999999,"Angers, Maine-et-Loire, Pays de la Loire, France",False
Stade Saint-Symphorien,Metz,49.11017469999999,6.1601608,"Longeville-lès-Metz, Moselle, Grand Est, France",False
Stade Vélodrome,Marseille,43.269827,5.395887300000001,"Marseille, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, France",False
Stade V�lodrome,Marseille,43.269827,5.395887300000001,"Marseille, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, France",False
Stade de France,Lens,48.9244592,2.3601645,"Saint-Denis, Seine-Saint-Denis, Île-de-France, France",False
Stade de Gerland,Lyon,45.723699,4.8321401,"Lyon, Rhône, Auvergne-Rhône-Alpes, France",False
Stade de l'Abbé-Deschamps,Auxerre,47.7866991,3.588655499999999,"Auxerre, Yonne, Bourgogne-Franche-Comté, France",False
Stade de l'Aube,Nice,48.3075473,4.0984348,"Troyes, Aube, Grand Est, France",False
Stade de l'Aube,Troyes,48.3075473,4.0984348,"Troyes, Aube, Grand Est, France",False
Stade de la Libération,Boulogne,50.72392259999999,1.6192773,"Boulogne-sur-Mer, Pas-de-Calais, Hauts-de-France, France",False
Stade de la Lib�ration,Boulogne,50.72392259999999,1.6192773,"Boulogne-sur-Mer, Pas-de-Calais, Hauts-de-France, France",False
Stade de la Licorne,Amiens,49.8941524,2.2634041,"Amiens, Somme, Hauts-de-France, France",False
Stade de la Licorne,Lens,49.8941524,2.2634041,"Amiens, Somme, Hauts-de-France, France",False
Stade de la Meinau,Strasbourg,48.559566,7.7535729,"Strasbourg, Bas-Rhin, Grand Est, France",False
Stade de la Mosson,Montpellier,43.6221434,3.8120627,"Montpellier, Hérault, Occitanie, France",False
Stade de la Route-de-Lorient,Rennes,48.1074881,-1.7128664,"Rennes, Ille-et-Vilaine, Bretagne, France",False
Stade des Alpes,Grenoble,45.1874353,5.7401278,"Grenoble, Isère, Auvergne-Rhône-Alpes, France",False
Stade des Costières,Nimes,43.8160198,4.359258,"Nîmes, Gard, Occitanie, France",False
Stade du Hainaut,Valenciennes,50.34842159999999,3.5317617,"Valenciennes, Nord, Hauts-de-France, France",False
Stade du Moustoir,Lorient,47.7486606,-3.3693126,"Lorient, Morbihan, Bretagne, France",False
Stade du Ray,Nice,43.7236959,7.259158599999999,"Nice, Alpes-Maritimes, Provence-Alpes-Côte d'Azur, France",False
Stadium Lille Métropole,Lille,50.631052,3.1359077,"Villeneuve-d'Ascq, Nord, Hauts-de-France, France",False
Stadium Lille M�tropole,Lille,50.631052,3.1359077,"Villeneuve-d'Ascq, Nord, Hauts-de-France, France",False
Stadium Municipal,Toulouse,43.5832972,1.434048,"Toulouse, Haute-Garonne, Occitanie, France",False
"Stadium Municipal, Toulouse",Toulouse,43.5832972,1.434048,"Toulouse, Haute-Garonne, Occitanie, France",False
