Season,Part,Date,Time,Venue,Attendance,H_Team,A_Team,Referee,H_HT_Goals,A_HT_Goals,H_FT_Goals,A_FT_Goals,H_Ratings,A_Ratings,H_ShotsTotal,A_ShotsTotal,H_ShotsOnPost,A_ShotsOnPost,H_ShotsOnTarget,A_ShotsOnTarget,H_ShotsOffTarget,A_ShotsOffTarget,H_ShotsBlocked,A_ShotsBlocked,H_Possession,A_Possession,H_Touches,A_Touches,H_PassSuccess,A_PassSuccess,H_PassesTotal,A_PassesTotal,H_PassesAccurate,A_PassesAccurate,H_PassesKey,A_PassesKey,H_DribblesWon,A_DribblesWon,H_DribblesAttempted,A_DribblesAttempted,H_DribbledPast,A_DribbledPast,H_DribbleSuccess,A_DribbleSuccess,H_AerialsWon,A_AerialsWon,H_AerialSuccess,A_AerialSuccess,H_OffensiveAerials,A_OffensiveAerials,H_DefensiveAerials,A_DefensiveAerials,H_TackleSuccessful,A_TackleSuccessful,H_TacklesTotal,A_TacklesTotal,H_TackleUnsuccesful,A_TackleUnsuccesful,H_TackleSuccess,A_TackleSuccess,H_Clearances,A_Clearances,H_Interceptions,A_Interceptions,H_CornersTotal,A_CornersTotal,H_CornerAccuracy,A_CornerAccuracy,H_Dispossessed,A_Dispossessed,H_Errors,A_Errors,H_FoulsCommited,A_FoulsCommited,H_OffsidesCaught,A_OffsidesCaught,H_Events,A_Events
2012/2013,regular,2013/6/01,16:00,Santiago Bernabéu,68000,Real Madrid,Osasuna,Miguel Angel Pérez Lasa,2,0,4,2,7.37,6.89,18,26,0,0,9,13,5,11,4,2,48.5,51.5,594,597,76,78,398,400,304,310,15,20,11,6,22,9,6,11,50,67,20,14,59,41,0,0,0,0,12,19,18,30,6,11,67,63,44,14,16,29,4,5,75,20,8,9,1,0,15,12,3,6,goal(35);goal(38);yellow-card(44);goal(69);goal(87),yellow-card(44);goal(52);goal(63)
2012/2013,regular,2013/6/01,18:00,Camp Nou,70000,Barcelona,Malaga,Miguel Ángel Ayza Gámez,3,0,4,1,7.39,6.48,10,11,0,1,6,5,4,5,0,1,0,0,1001,581,90,83,841,398,760,330,9,10,6,13,15,33,13,6,40,39,6,8,43,57,0,0,0,0,29,15,42,21,13,6,69,71,21,18,21,31,9,6,67,33,6,9,0,1,5,5,5,1,goal(3);goal(14);goal(16);goal(52),shot-on-post(54);goal(56)
2012/2013,regular,2013/6/01,20:00,Iberostar Estadi,15000,Mallorca,Real Valladolid,Carlos del Cerro Grande,2,1,4,2,7.21,6.46,21,11,0,0,10,5,9,6,2,0,51.4,48.6,674,656,80,80,475,445,379,358,17,7,12,5,21,14,5,12,57,36,20,13,61,39,0,0,0,0,17,18,22,30,5,12,77,60,25,49,11,7,8,5,38,0,9,8,0,1,8,11,0,2,goal(17);goal(43);yellow-card(50);goal(58);goal(68);yellow-card(80),goal(30);goal(72)
2012/2013,regular,2013/6/01,20:00,La Romareda,34500,Real Zaragoza,Atletico,Xavier Estrada Fernández,0,0,1,3,6.32,7.47,16,16,0,2,6,4,7,8,3,4,0,0,632,602,77,72,446,403,345,292,12,13,6,4,14,10,4,6,43,40,14,22,39,61,0,0,0,0,13,25,17,31,4,6,76,81,35,32,8,20,7,6,43,33,17,7,0,0,12,11,0,5,yellow-card(58);yellow-card(75);goal(89),shot-on-post(15);yellow-card(35);goal(84);shot-on-post(88);goal(90);goal(91)
2012/2013,regular,2013/6/01,20:00,Ciutat de València,15000,Levante,Real Betis,Fernando Teixeira Vitienes,0,0,1,1,6.74,6.66,13,9,0,0,4,1,6,2,3,6,0,0,488,612,73,77,320,439,233,339,12,6,8,9,19,13,9,8,42,69,21,17,55,45,0,0,0,0,16,25,25,33,9,8,64,76,17,29,12,11,7,5,14,20,14,12,0,0,17,15,5,1,yellow-card(11);yellow-card(42);goal(51);yellow-card(87),yellow-card(33);yellow-card(40);goal(67);yellow-card(90);yellow-card(92)
2012/2013,regular,2013/6/01,20:00,Campo de Fútbol de Vallecas,12000,Rayo Vallecano,Athletic Bilbao,César Muñiz Fernández,1,1,2,2,6.90,6.43,27,5,0,1,6,3,18,2,3,0,0,0,721,427,87,66,545,266,475,175,22,5,15,7,25,15,7,15,60,47,5,6,45,55,0,0,0,0,19,23,26,38,7,15,73,61,10,20,9,18,11,1,64,100,14,11,0,2,12,20,0,2,goal(19);goal(55);yellow-card(80),shot-on-post(7);second-yellow(10);yellow-card(13);error-to-goal(19);goal(31);goal(48);error-to-goal(55);yellow-card(83);yellow-card(91)
2012/2013,regular,2013/6/01,20:00,Municipal de Riazor,34000,Deportivo,Real Sociedad,David José Fernández Borbalán,0,1,0,1,6.64,6.97,20,12,1,0,5,6,12,5,3,1,0,0,657,524,81,72,466,334,376,241,16,8,4,5,12,14,5,4,33,36,21,15,58,42,0,0,0,0,19,22,24,26,5,4,79,85,20,54,9,12,7,1,29,100,14,10,1,0,12,19,4,4,error-to-goal(22);yellow-card(38);yellow-card(41);yellow-card(67);shot-on-post(76);yellow-card(82);yellow-card(86);yellow-card(89);yellow-card(92),goal(22);yellow-card(82);second-yellow(84);yellow-card(89)
2012/2013,regular,2013/6/01,20:00,Balaídos,31000,Celta Vigo,Espanyol,Antonio Miguel Mateu Lahoz,1,0,1,0,6.98,6.47,12,8,0,0,5,1,3,6,4,1,0,0,613,612,74,76,426,428,315,327,9,6,8,3,26,11,3,8,31,27,8,10,44,56,0,0,0,0,19,27,22,35,3,8,86,77,29,34,25,18,6,6,67,0,9,11,0,2,17,17,1,1,goal(15);yellow-card(64),yellow-card(17);yellow-card(77);yellow-card(88);second-yellow(91)
2012/2013,regular,2013/6/01,20:00,Estadio Los Cármenes,20000,Granada,Getafe,Alejandro José Hernández Hernández,1,0,2,0,7.01,6.55,16,11,0,0,5,0,8,9,3,2,0,0,497,696,72,83,347,534,251,443,12,8,6,3,20,12,2,6,30,25,8,14,36,64,0,0,0,0,23,24,25,30,2,6,92,80,15,13,16,22,4,5,50,60,10,13,0,0,10,7,0,6,goal(29);goal(63);yellow-card(78),yellow-card(8)
2012/2013,regular,2013/6/01,20:00,Ramón Sánchez Pizjuán,38000,Sevilla,Valencia,Carlos Clos Gómez,2,1,4,3,6.80,6.59,21,17,0,1,9,7,8,7,4,3,0,0,695,482,84,78,526,287,444,225,17,12,12,12,19,25,12,12,63,48,10,13,43,57,0,0,0,0,20,15,32,27,12,12,63,56,22,34,11,18,9,1,67,0,8,7,1,0,14,11,2,0,goal(40);yellow-card(41);penalty_scored(44);error-to-goal(56);goal(57);goal(61);yellow-card(75);yellow-card(83),goal(12);shot-on-post(24);yellow-card(42);yellow-card(43);red-card(45);yellow-card(47);goal(56);yellow-card(71);goal(88);yellow-card(89)
2012/2013,regular,2013/5/20,21:00,Iberostar Estadi,12000,Mallorca,Real Betis,Miguel Angel Pérez Lasa,1,0,1,0,7.08,6.47,15,10,1,0,5,2,10,4,0,4,44,56,564,667,74,77,357,455,263,350,9,7,6,10,10,15,10,6,60,67,22,18,55,45,0,0,0,0,18,16,28,22,10,6,64,73,33,36,24,7,6,5,0,60,12,13,0,1,13,17,2,0,shot-on-post(10);yellow-card(16);goal(21);yellow-card(43);yellow-card(85);yellow-card(92),error-to-goal(21);yellow-card(59);yellow-card(74)
2012/2013,regular,2013/5/26,19:00,Coliseum Alfonso Pérez,8000,Getafe,Rayo Vallecano,Carlos Clos Gómez,0,0,1,2,6.49,6.95,15,13,0,0,6,7,5,5,4,1,0,0,462,638,66,78,288,473,190,371,11,8,4,10,10,14,10,4,40,71,12,9,57,43,0,0,0,0,18,13,28,17,10,4,64,76,19,21,26,17,10,7,30,43,7,14,1,0,21,18,4,2,yellow-card(12);yellow-card(18);yellow-card(22);goal(49);yellow-card(66);yellow-card(82);error-to-goal(90),yellow-card(30);yellow-card(36);yellow-card(40);yellow-card(45);goal(53);yellow-card(67);own-goal(90)
2012/2013,regular,2013/5/26,19:00,Mestalla,40000,Valencia,Granada,Jesús Gil Manzano,0,0,1,0,7.11,6.47,13,2,0,0,3,0,7,1,3,1,0,0,797,424,88,63,605,249,534,158,12,1,8,9,19,14,9,8,42,64,12,8,60,40,0,0,0,0,17,19,26,27,9,8,65,70,26,38,16,20,10,2,30,50,8,12,0,2,17,14,1,5,goal(59),error-to-goal(59)
