Season,Part,Date,Time,Venue,Attendance,H_Team,A_Team,Referee,H_HT_Goals,A_HT_Goals,H_FT_Goals,A_FT_Goals,H_Ratings,A_Ratings,H_ShotsTotal,A_ShotsTotal,H_ShotsOnPost,A_ShotsOnPost,H_ShotsOnTarget,A_ShotsOnTarget,H_ShotsOffTarget,A_ShotsOffTarget,H_ShotsBlocked,A_ShotsBlocked,H_Possession,A_Possession,H_Touches,A_Touches,H_PassSuccess,A_PassSuccess,H_PassesTotal,A_PassesTotal,H_PassesAccurate,A_PassesAccurate,H_PassesKey,A_PassesKey,H_DribblesWon,A_DribblesWon,H_DribblesAttempted,A_DribblesAttempted,H_DribbledPast,A_DribbledPast,H_DribbleSuccess,A_DribbleSuccess,H_AerialsWon,A_AerialsWon,H_AerialSuccess,A_AerialSuccess,H_OffensiveAerials,A_OffensiveAerials,H_DefensiveAerials,A_DefensiveAerials,H_TackleSuccessful,A_TackleSuccessful,H_TacklesTotal,A_TacklesTotal,H_TackleUnsuccesful,A_TackleUnsuccesful,H_TackleSuccess,A_TackleSuccess,H_Clearances,A_Clearances,H_Interceptions,A_Interceptions,H_CornersTotal,A_CornersTotal,H_CornerAccuracy,A_CornerAccuracy,H_Dispossessed,A_Dispossessed,H_Errors,A_Errors,H_FoulsCommited,A_FoulsCommited,H_OffsidesCaught,A_OffsidesCaught,H_Events,A_Events
2017/2018,regular,2018/5/19,12:00,Balaídos,10982,Celta Vigo,Levante,Ricardo de Burgos Bengoetxea,2,1,4,2,7.27,6.43,20,7,1,0,9,3,7,1,4,3,62.7,37.3,746,522,86,77,567,340,489,263,16,6,9,7,16,17,7,9,56,41,11,5,69,31,8,8,8,8,30,17,37,26,7,9,81,65,9,21,11,18,5,3,80,67,10,20,0,1,9,15,3,4,goal(29);shot-on-post(34);goal(41);goal(48);goal(63);yellow-card(89),goal(12);yellow-card(22);clearance-off-the-line(29);yellow-card(35);yellow-card(35);error-to-goal(47);goal(74)
2017/2018,regular,2018/5/19,15:15,Butarque,9426,Leganes,Real Betis,Jesús Gil Manzano,1,1,3,2,6.67,6.53,8,17,0,0,3,8,4,6,1,3,30.5,69.5,437,816,77,92,278,647,214,596,6,13,8,14,16,24,14,8,50,58,7,6,54,46,8,5,5,8,24,18,38,26,14,8,63,69,8,11,10,8,6,4,50,100,10,14,1,1,9,9,3,3,second-yellow(24);goal(28);goal(64);error-to-goal(76);goal(79),goal(20);error-to-goal(64);goal(76)
2017/2018,regular,2018/5/19,17:30,La Rosaleda,10098,Malaga,Getafe,Daniel Jesús Trujillo Suárez,0,0,0,1,6.54,6.95,6,11,0,0,2,3,3,6,1,2,39.9,60.1,476,644,59,76,306,441,181,335,5,8,14,9,20,15,9,14,70,60,24,26,48,52,29,21,21,29,26,14,35,28,9,14,74,50,17,14,15,19,2,9,0,56,8,20,0,0,19,12,2,3,yellow-card(35);yellow-card(54);yellow-card(73);yellow-card(83),penalty_scored(73);yellow-card(79)
2017/2018,regular,2018/5/19,17:30,Estadio de Gran Canaria,6368,Las Palmas,Girona,Santiago Jaime Latre,1,2,1,2,6.62,6.87,13,11,0,0,7,6,4,3,2,2,63.1,36.9,692,468,84,69,479,276,402,190,9,8,18,12,25,22,12,18,72,55,25,13,66,34,23,15,15,23,19,22,31,40,12,18,61,55,15,25,11,14,4,3,75,0,15,9,2,0,7,19,1,3,error-to-goal(5);penalty_scored(14);error-to-goal(42);yellow-card(59),goal(5);yellow-card(13);yellow-card(21);goal(42)
2017/2018,regular,2018/5/19,17:30,Ramón Sánchez-Pizjuán,22643,Sevilla,Deportivo Alaves,Carlos del Cerro Grande,1,0,1,0,7.26,6.52,20,10,1,1,8,4,6,4,6,2,61.1,38.9,809,559,89,81,609,390,544,314,16,6,16,6,18,12,6,16,89,50,14,8,64,36,8,14,14,8,23,16,29,32,6,16,79,50,12,21,9,12,8,3,63,67,14,17,0,0,15,12,6,1,goal(28);shot-on-post(65);yellow-card(71);yellow-card(81),shot-on-post(14);yellow-card(75);yellow-card(84)
2017/2018,regular,2018/5/19,19:45,Estadio de la Cerámica,18604,Villarreal,Real Madrid,José María Sánchez Martínez,0,2,2,2,6.73,6.70,14,16,0,0,5,7,4,7,5,2,38.6,61.4,598,859,87,92,424,670,369,618,11,11,8,9,17,17,9,8,47,53,6,11,35,65,7,10,10,7,21,20,30,28,9,8,70,71,18,8,12,3,4,5,75,60,11,13,0,1,13,10,4,3,goal(71);yellow-card(79);yellow-card(79);goal(85);yellow-card(88);yellow-card(94),goal(11);goal(32);yellow-card(48);clearance-off-the-line(67);yellow-card(84);error-to-goal(85);yellow-card(89)
2017/2018,regular,2018/5/20,11:00,Mestalla,35472,Valencia,Deportivo,David Medié Jiménez,1,0,2,1,7.13,6.58,22,12,2,0,5,7,13,3,4,2,56.8,43.2,764,602,89,83,561,418,499,349,17,8,12,7,28,15,7,12,43,47,15,1,94,6,8,8,8,8,22,34,29,46,7,12,76,74,13,18,10,11,8,4,63,75,18,14,0,1,8,11,1,0,goal(28);shot-on-post(54);shot-on-post(63);goal(77),goal(80)
2017/2018,regular,2018/5/20,15:15,San Mamés,28492,Athletic Bilbao,Espanyol,David José Fernández Borbalán,0,1,0,1,6.53,6.90,12,11,0,0,3,4,7,5,2,2,56.3,43.7,714,598,84,78,541,429,452,336,9,10,10,7,20,12,7,10,50,58,21,14,60,40,15,20,20,15,17,21,24,31,7,10,71,68,14,30,7,6,7,7,14,29,11,12,1,0,4,11,2,6,error-to-goal(9),goal(9);yellow-card(81)
2017/2018,regular,2018/5/20,17:30,Wanda Metropolitano,63229,Atletico,Eibar,Alfonso Javier Álvarez Izquierdo,1,1,2,2,6.63,6.65,8,14,0,0,4,3,4,7,0,4,51.2,48.8,634,588,78,75,458,428,355,322,5,10,17,7,24,12,7,17,71,58,17,21,45,55,11,27,27,11,12,16,19,33,7,17,63,48,18,11,16,16,2,2,0,50,9,7,0,0,14,14,6,0,yellow-card(22);goal(42);goal(60);yellow-card(61);second-yellow(63);yellow-card(71);yellow-card(83),goal(35);yellow-card(56);yellow-card(65);goal(70)
2017/2018,regular,2018/5/20,19:45,Camp Nou,82444,Barcelona,Real Sociedad,José Luis Munuera Montero,0,0,1,0,7.07,6.39,12,13,0,0,4,2,6,8,2,3,61.4,38.6,779,529,90,83,604,368,544,304,10,9,22,5,28,10,5,22,79,50,7,8,47,53,6,9,9,6,14,19,19,41,5,22,74,46,18,12,11,11,3,8,67,38,13,9,0,0,13,13,3,3,yellow-card(43);goal(57);yellow-card(72);yellow-card(75),yellow-card(42);yellow-card(53)
