Season,Part,Date,Time,Venue,Attendance,H_Team,A_Team,Referee,H_HT_Goals,A_HT_Goals,H_FT_Goals,A_FT_Goals,H_Ratings,A_Ratings,H_ShotsTotal,A_ShotsTotal,H_ShotsOnPost,A_ShotsOnPost,H_ShotsOnTarget,A_ShotsOnTarget,H_ShotsOffTarget,A_ShotsOffTarget,H_ShotsBlocked,A_ShotsBlocked,H_Possession,A_Possession,H_Touches,A_Touches,H_PassSuccess,A_PassSuccess,H_PassesTotal,A_PassesTotal,H_PassesAccurate,A_PassesAccurate,H_PassesKey,A_PassesKey,H_DribblesWon,A_DribblesWon,H_DribblesAttempted,A_DribblesAttempted,H_DribbledPast,A_DribbledPast,H_DribbleSuccess,A_DribbleSuccess,H_AerialsWon,A_AerialsWon,H_AerialSuccess,A_AerialSuccess,H_OffensiveAerials,A_OffensiveAerials,H_DefensiveAerials,A_DefensiveAerials,H_TackleSuccessful,A_TackleSuccessful,H_TacklesTotal,A_TacklesTotal,H_TackleUnsuccesful,A_TackleUnsuccesful,H_TackleSuccess,A_TackleSuccess,H_Clearances,A_Clearances,H_Interceptions,A_Interceptions,H_CornersTotal,A_CornersTotal,H_CornerAccuracy,A_CornerAccuracy,H_Dispossessed,A_Dispossessed,H_Errors,A_Errors,H_FoulsCommited,A_FoulsCommited,H_OffsidesCaught,A_OffsidesCaught,H_Events,A_Events
2015/2016,regular,2016/5/11,19:30,Matmut Atlantique,38026,Bordeaux,PSG,François Letexier,0,0,1,1,6.85,6.91,8,11,0,0,3,3,4,7,1,1,32.2,67.8,524,933,75,87,359,768,271,671,5,10,19,22,27,26,22,19,70,85,18,12,60,40,18,11,12,19,19,22,41,41,22,19,46,54,18,29,26,18,5,3,40,67,14,15,0,2,11,7,1,2,yellow-card(14);goal(66);clearance-off-the-line(91),yellow-card(41);yellow-card(47);goal(59)
2015/2016,regular,2016/5/14,20:00,Stade Louis II,9318,Monaco,Montpellier,Benoît Bastien,2,0,2,0,7.27,6.47,15,10,1,0,7,4,6,6,2,0,36.9,63.1,512,736,76,82,344,586,263,478,10,7,9,11,15,15,11,9,60,73,16,11,59,41,18,9,9,18,24,15,35,24,11,9,69,63,33,6,21,19,5,7,80,14,9,20,0,0,16,15,3,3,goal(3);penalty_scored(32);yellow-card(72);shot-on-post(75);yellow-card(89);yellow-card(89),yellow-card(23);clearance-off-the-line(74);clearance-off-the-line(75)
2015/2016,regular,2016/5/14,20:00,Stade Geoffroy-Guichard,39550,Saint-Etienne,Lille,Clément Turpin,0,1,0,1,6.64,7.23,12,12,0,1,3,6,5,6,4,0,56.7,43.3,623,570,78,77,456,356,357,275,10,10,7,17,25,29,17,7,28,59,26,19,58,42,31,14,14,31,28,25,45,32,17,7,62,78,7,51,20,13,7,3,43,67,7,16,0,0,14,12,1,2,yellow-card(42);yellow-card(97),shot-on-post(2);penalty_scored(41);yellow-card(83)
2015/2016,regular,2016/5/14,20:00,Stade Municipal de Roudourou,17236,Guingamp,Nice,Ruddy Buquet,1,2,2,3,6.55,7.00,14,10,0,0,3,3,9,4,2,3,33.6,66.4,566,910,81,88,355,717,286,631,11,8,10,13,19,25,13,10,53,52,13,12,52,48,13,12,12,13,24,26,37,36,13,10,65,72,10,12,24,23,4,2,50,0,17,12,0,0,9,10,2,0,goal(19);own-goal(55);yellow-card(65);yellow-card(71),goal(2);yellow-card(10);goal(45);goal(62)
2015/2016,regular,2016/5/14,20:00,Stade de l'Aube,16623,Troyes,Marseille,François Letexier,1,0,1,1,6.93,6.81,9,18,0,1,4,6,4,7,1,5,42.5,57.5,663,825,80,87,458,607,365,526,9,14,11,14,16,26,14,11,69,54,10,9,53,47,3,16,16,3,27,14,41,25,14,11,66,56,26,10,19,21,5,13,60,31,9,15,0,0,8,7,1,4,goal(10);yellow-card(30);yellow-card(81);penalty_saved(82),shot-on-post(20);yellow-card(23);goal(61);penalty-missed(82)
2015/2016,regular,2016/5/14,20:00,Stade du Moustoir,12616,Lorient,GFC Ajaccio,Benoît Millot,1,0,1,0,7.07,6.60,8,19,0,0,4,2,4,10,0,7,52.9,47.1,694,600,78,74,509,443,397,329,7,15,10,5,18,8,5,10,56,63,19,20,49,51,12,27,27,12,11,23,16,33,5,10,69,70,28,3,25,28,1,5,0,40,15,8,0,0,9,12,3,3,yellow-card(10);goal(27);yellow-card(91),yellow-card(74)
2015/2016,regular,2016/5/14,20:00,Parc des Princes,47844,PSG,Nantes,Lionel Jaffredo,2,0,4,0,7.66,6.41,19,14,0,0,12,3,5,9,2,2,60.6,39.4,809,570,89,82,645,406,575,331,15,11,11,18,15,21,18,11,73,86,16,8,67,33,5,19,19,5,10,12,28,23,18,11,36,52,16,19,16,18,10,4,20,50,8,7,2,1,10,8,5,1,goal(18);yellow-card(38);goal(43);goal(52);goal(89),yellow-card(51)
2015/2016,regular,2016/5/14,20:00,Stade Michel-d'Ornano,19599,Caen,Bordeaux,Tony Chapron,1,0,1,0,7.27,6.63,10,11,2,0,4,5,5,4,1,2,39.3,60.7,542,760,72,83,379,578,271,480,6,9,9,16,19,23,16,9,47,70,30,12,71,29,23,19,19,23,23,20,39,29,16,9,59,69,23,17,27,29,4,6,50,50,10,16,0,0,15,15,4,2,clearance-off-the-line(12);penalty_scored(14);yellow-card(25);shot-on-post(69);shot-on-post(69),yellow-card(15);yellow-card(15);yellow-card(28);yellow-card(72);red-card(75)
2015/2016,regular,2016/5/14,20:00,Stade Auguste-Delaune,17432,Reims,Lyon,Amaury Delerue,2,0,4,1,7.25,6.40,14,9,1,1,6,3,7,4,1,2,33,67,434,742,73,87,292,592,213,513,11,6,12,23,19,29,23,12,63,79,10,14,42,58,13,11,11,13,22,13,45,25,23,12,49,52,24,11,23,13,0,4,0,25,6,16,0,1,21,14,2,3,shot-on-post(3);goal(14);yellow-card(27);goal(34);yellow-card(41);yellow-card(43);goal(51);yellow-card(53);penalty_scored(56);yellow-card(85),yellow-card(25);shot-on-post(42);yellow-card(55);goal(63)
2015/2016,regular,2016/5/14,20:00,Roazhon Park,21429,Rennes,SC Bastia,Mikael Lesage,0,1,1,2,6.67,6.96,17,9,0,1,8,5,6,2,3,2,57,43,666,529,83,75,501,380,414,285,15,7,16,6,21,11,6,16,76,55,18,12,60,40,13,17,17,13,13,24,19,40,6,16,68,60,6,21,23,16,8,2,38,50,20,8,1,2,5,15,6,0,yellow-card(26);yellow-card(43);error-to-goal(52);goal(82);yellow-card(84),shot-on-post(7);clearance-off-the-line(15);goal(21);yellow-card(32);goal(52);yellow-card(69);yellow-card(82);error-to-goal(82);yellow-card(84);yellow-card(92)
