Season,Part,Date,Time,Venue,Attendance,H_Team,A_Team,Referee,H_HT_Goals,A_HT_Goals,H_FT_Goals,A_FT_Goals,H_Ratings,A_Ratings,H_ShotsTotal,A_ShotsTotal,H_ShotsOnPost,A_ShotsOnPost,H_ShotsOnTarget,A_ShotsOnTarget,H_ShotsOffTarget,A_ShotsOffTarget,H_ShotsBlocked,A_ShotsBlocked,H_Possession,A_Possession,H_Touches,A_Touches,H_PassSuccess,A_PassSuccess,H_PassesTotal,A_PassesTotal,H_PassesAccurate,A_PassesAccurate,H_PassesKey,A_PassesKey,H_DribblesWon,A_DribblesWon,H_DribblesAttempted,A_DribblesAttempted,H_DribbledPast,A_DribbledPast,H_DribbleSuccess,A_DribbleSuccess,H_AerialsWon,A_AerialsWon,H_AerialSuccess,A_AerialSuccess,H_OffensiveAerials,A_OffensiveAerials,H_DefensiveAerials,A_DefensiveAerials,H_TackleSuccessful,A_TackleSuccessful,H_TacklesTotal,A_TacklesTotal,H_TackleUnsuccesful,A_TackleUnsuccesful,H_TackleSuccess,A_TackleSuccess,H_Clearances,A_Clearances,H_Interceptions,A_Interceptions,H_CornersTotal,A_CornersTotal,H_CornerAccuracy,A_CornerAccuracy,H_Dispossessed,A_Dispossessed,H_Errors,A_Errors,H_FoulsCommited,A_FoulsCommited,H_OffsidesCaught,A_OffsidesCaught,H_Events,A_Events
2019/2020,regular,2020/3/06,20:00,Stade Vélodrome,49748,Marseille,Amiens,François Letexier,1,0,2,2,6.90,6.60,13,12,0,1,6,3,4,6,3,3,55.5,44.5,726,616,82,78,510,408,416,317,9,9,17,13,22,22,13,17,77,59,17,22,44,56,16,23,23,16,23,10,36,27,13,17,64,37,18,25,20,11,4,4,25,75,5,14,0,1,13,17,0,4,yellow-card(17);yellow-card(40);goal(46);goal(57);second-yellow(97),yellow-card(38);error-to-goal(46);yellow-card(60);penalty_scored(83);shot-on-post(86);goal(95)
2019/2020,regular,2020/3/07,19:00,Stade Saint-Symphorien,14797,Metz,Nimes,Ruddy Buquet,1,0,2,1,7.11,6.58,14,16,0,0,5,7,7,4,2,5,56.6,43.4,653,543,76,70,431,332,327,231,9,8,15,6,27,15,6,15,56,40,26,31,46,54,23,34,34,23,17,22,23,37,6,15,74,59,29,23,14,7,8,6,50,0,10,8,0,1,9,11,2,1,goal(7);goal(81),goal(49)
2019/2020,regular,2020/3/07,19:00,Stade Auguste-Delaune,11062,Reims,Brest,Karim Abed,1,0,1,0,6.88,6.43,12,12,1,0,3,4,7,6,2,2,48.3,51.7,659,665,84,86,468,497,395,427,11,9,5,10,9,14,10,5,56,71,16,15,52,48,14,17,17,14,13,15,23,20,10,5,57,75,21,11,10,13,5,5,80,20,11,9,0,1,7,13,1,0,shot-on-post(5);yellow-card(10);penalty_saved(29);goal(37);second-yellow(68),penalty-missed(29);yellow-card(32);yellow-card(83)
2019/2020,regular,2020/3/07,19:00,Allianz Riviera,21001,Nice,Monaco,Amaury Delerue,0,1,2,1,6.88,6.72,12,14,0,2,5,4,3,7,4,3,50.8,49.2,711,686,87,85,515,500,450,423,10,9,15,14,20,21,14,15,75,67,6,11,35,65,4,13,13,4,17,20,31,35,14,15,55,57,11,15,14,11,6,3,0,67,15,10,0,0,11,15,1,0,yellow-card(51);goal(59);goal(93),yellow-card(24);goal(32);shot-on-post(36);yellow-card(71);yellow-card(82);red-card(86);yellow-card(88);shot-on-post(89)
2019/2020,regular,2020/3/07,19:00,Stade Gaston-Gérard,12549,Dijon,Toulouse,Jerome Brisard,1,1,2,1,6.93,6.45,14,6,0,0,3,2,7,2,4,2,56.2,43.8,707,591,81,73,500,410,405,299,6,5,13,11,16,22,11,13,81,50,29,14,67,33,24,19,19,24,20,18,31,31,11,13,65,58,18,25,17,14,5,1,40,100,15,9,0,1,14,17,2,1,yellow-card(12);goal(40);yellow-card(45);goal(53),yellow-card(12);yellow-card(17);goal(41)
2019/2020,regular,2020/3/07,19:00,Stade Raymond-Kopa,12132,Angers,Nantes,Stéphanie Frappart,0,0,2,0,7.12,6.39,8,15,0,0,3,4,2,8,3,3,45.1,54.9,670,757,80,84,465,560,371,471,4,13,14,6,18,17,6,14,78,35,8,26,24,76,20,13,14,21,23,19,29,33,6,14,79,58,27,14,11,11,4,6,25,33,15,12,0,0,9,6,3,1,goal(48);goal(53),yellow-card(51);yellow-card(54);yellow-card(87)
2019/2020,regular,2020/3/08,14:00,Stade Geoffroy-Guichard,24912,Saint-Etienne,Bordeaux,Thomas Leonard,0,0,1,1,6.49,6.59,11,8,0,0,4,2,2,3,5,3,52.1,47.9,631,598,80,77,448,424,360,328,10,5,9,10,15,15,10,9,60,67,22,17,56,44,27,12,12,27,12,20,22,29,10,9,55,69,13,20,11,9,7,4,57,25,14,7,2,1,14,17,1,2,yellow-card(58);error-to-goal(65);goal(68);second-yellow(75);yellow-card(95),yellow-card(28);yellow-card(37);goal(65);yellow-card(92)
2019/2020,regular,2020/3/08,16:00,Roazhon Park,24818,Rennes,Montpellier,Jeremie Pignard,2,0,5,0,7.59,5.85,16,11,0,2,9,1,5,5,2,5,54.4,45.6,700,591,89,85,509,413,451,352,12,8,14,8,17,20,8,14,82,40,4,11,27,73,6,9,9,6,14,9,22,23,8,14,64,39,27,14,11,10,2,7,0,14,6,2,0,0,9,10,0,0,goal(9);goal(28);yellow-card(57);yellow-card(57);goal(68);penalty_scored(73);yellow-card(77);penalty_scored(87),shot-on-post(22);yellow-card(25);shot-on-post(36);yellow-card(77);yellow-card(86)
2019/2020,regular,2020/3/08,20:00,Stade Pierre-Mauroy,40164,Lille,Lyon,Benoît Bastien,1,0,1,0,6.89,6.48,12,9,1,0,3,2,8,5,1,2,43.3,56.7,552,691,73,79,369,490,270,387,10,7,13,10,22,15,10,13,59,67,22,18,55,45,24,16,16,24,8,23,18,36,10,13,44,64,13,19,12,17,4,3,25,0,14,3,0,0,21,13,0,2,goal(33);yellow-card(46);shot-on-post(51),yellow-card(57);yellow-card(70);yellow-card(78)
2019/2020,regular,2020/2/28,19:45,Stade des Costières,13755,Nimes,Marseille,Clément Turpin,1,2,2,3,6.60,7.08,16,13,0,0,6,4,6,6,4,3,47.9,52.1,572,602,72,75,338,381,245,285,10,11,10,13,23,20,13,10,43,65,23,26,47,53,35,14,14,35,23,26,36,36,13,10,64,72,13,36,12,6,8,9,38,44,13,16,0,1,15,14,1,1,goal(5);yellow-card(14);yellow-card(75);yellow-card(78);goal(92);yellow-card(94),goal(10);goal(36);goal(69);yellow-card(71);yellow-card(75);error-to-goal(92);yellow-card(92)
2019/2020,regular,2020/2/29,16:30,Parc des Princes,47542,PSG,Dijon,Thomas Leonard,1,0,4,0,7.38,6.20,23,9,1,0,11,3,10,6,2,0,69.7,30.3,929,506,90,81,760,327,685,266,18,7,9,8,15,11,8,9,60,73,12,11,52,48,9,14,14,9,13,10,21,19,8,9,62,53,7,22,5,18,8,0,38,0,4,10,0,0,7,3,2,1,goal(3);yellow-card(16);shot-on-post(71);goal(74);goal(77);goal(91),
2019/2020,regular,2020/2/29,19:00,"Stadium Municipal, Toulouse",13301,Toulouse,Rennes,Jeremy Stinat,0,1,0,2,6.23,7.22,15,11,0,2,2,4,8,7,5,0,40.6,59.4,564,781,79,87,375,589,295,514,10,9,8,7,11,13,7,8,73,54,19,25,43,57,32,12,12,32,15,20,22,28,7,8,68,71,12,25,9,8,9,3,22,100,17,9,1,1,13,12,1,5,yellow-card(23);yellow-card(33);yellow-card(45);error-to-goal(83),goal(3);yellow-card(29);shot-on-post(37);shot-on-post(48);goal(83)
2019/2020,regular,2020/2/29,19:00,Stade Louis II,4237,Monaco,Reims,Hakim Ben El Hadj,1,0,1,1,6.86,6.82,19,16,1,0,7,8,6,3,6,5,57.1,42.9,730,635,83,81,527,394,437,318,15,13,12,16,17,26,16,12,71,62,22,7,76,24,14,15,15,14,16,16,32,28,16,12,50,57,14,19,10,15,3,2,100,100,11,6,1,0,20,13,1,4,shot-on-post(14);penalty_scored(31);yellow-card(55);error-to-goal(58);yellow-card(81),yellow-card(29);goal(58);yellow-card(74);yellow-card(84)
2019/2020,regular,2020/2/29,19:00,Stade de la Mosson,11799,Montpellier,Strasbourg,Mikael Lesage,0,0,3,0,7.43,6.40,23,15,0,0,11,7,9,4,3,4,45.4,54.6,550,642,83,84,367,450,306,380,18,14,4,13,7,18,13,4,57,72,18,20,47,53,18,20,20,18,10,9,23,13,13,4,43,69,22,23,11,12,5,7,20,71,6,5,0,1,8,15,0,1,penalty_scored(57);goal(61);goal(65);yellow-card(72),yellow-card(56);yellow-card(93)
2019/2020,regular,2020/2/29,19:00,Stade de la Licorne,12375,Amiens,Metz,Johan Hamel,0,1,0,1,6.35,7.07,12,13,0,0,5,6,6,5,1,2,59.1,40.9,721,559,78,67,517,361,403,242,9,10,4,15,6,22,15,4,67,68,18,23,44,56,16,25,25,16,12,12,27,16,15,4,44,75,16,17,11,7,6,3,50,33,10,5,0,0,17,10,1,0,yellow-card(59);yellow-card(67),yellow-card(18);goal(26)
2019/2020,regular,2020/2/29,19:00,Stade Francis-Le Blé,13313,Brest,Angers,Florent Batta,0,1,0,1,6.37,6.93,16,6,0,0,4,2,7,3,5,1,64.9,35.1,788,516,88,77,605,340,530,263,12,4,7,8,10,9,8,7,70,89,15,25,38,63,26,14,14,26,10,8,18,15,8,7,56,53,10,41,11,6,12,0,42,0,5,9,0,1,12,9,1,1,yellow-card(86);yellow-card(95);yellow-card(98),goal(43);yellow-card(96)
