Season,Part,Date,Time,Venue,Attendance,H_Team,A_Team,Referee,H_HT_Goals,A_HT_Goals,H_FT_Goals,A_FT_Goals,H_Ratings,A_Ratings,H_ShotsTotal,A_ShotsTotal,H_ShotsOnPost,A_ShotsOnPost,H_ShotsOnTarget,A_ShotsOnTarget,H_ShotsOffTarget,A_ShotsOffTarget,H_ShotsBlocked,A_ShotsBlocked,H_Possession,A_Possession,H_Touches,A_Touches,H_PassSuccess,A_PassSuccess,H_PassesTotal,A_PassesTotal,H_PassesAccurate,A_PassesAccurate,H_PassesKey,A_PassesKey,H_DribblesWon,A_DribblesWon,H_DribblesAttempted,A_DribblesAttempted,H_DribbledPast,A_DribbledPast,H_DribbleSuccess,A_DribbleSuccess,H_AerialsWon,A_AerialsWon,H_AerialSuccess,A_AerialSuccess,H_OffensiveAerials,A_OffensiveAerials,H_DefensiveAerials,A_DefensiveAerials,H_TackleSuccessful,A_TackleSuccessful,H_TacklesTotal,A_TacklesTotal,H_TackleUnsuccesful,A_TackleUnsuccesful,H_TackleSuccess,A_TackleSuccess,H_Clearances,A_Clearances,H_Interceptions,A_Interceptions,H_CornersTotal,A_CornersTotal,H_CornerAccuracy,A_CornerAccuracy,H_Dispossessed,A_Dispossessed,H_Errors,A_Errors,H_FoulsCommited,A_FoulsCommited,H_OffsidesCaught,A_OffsidesCaught,H_Events,A_Events
2021/2022,regular,2021/9/12,14:30,Fisht Olympic Stadium,498,PFC Sochi,FC Ufa,Aleksei Suhoy,2,0,3,1,6.87,6.28,26,10,0,0,10,3,10,6,6,1,64.1,35.9,778,508,82,66,616,339,508,225,14,7,4,4,5,4,4,4,80,100,16,9,64,36,15,10,10,15,9,7,13,11,4,4,69,64,8,18,15,20,5,3,20,0,6,9,0,0,8,10,3,3,yellow-card(7);goal(11);goal(35);yellow-card(59);yellow-card(89);goal(93),goal(50);red-card(83)
2021/2022,regular,2021/9/12,17:00,VTB Arena,7146,Dinamo Moscow,Nizhny Novgorod,Vitaliy Meshkov,1,0,1,2,6.41,6.57,18,9,1,0,5,4,12,2,1,3,59.5,40.5,677,499,82,73,502,345,411,253,13,8,4,5,11,13,5,4,36,38,19,21,48,53,17,23,23,17,15,18,20,22,5,4,75,82,2,19,13,11,3,2,33,50,11,7,0,0,6,10,6,1,goal(13);shot-on-post(36);yellow-card(72);penalty-missed(89),penalty-missed(52);yellow-card(56);goal(75);goal(83);second-yellow(88);penalty_saved(89)
2021/2022,regular,2021/8/26,14:30,Neftyanik Stadium,594,FC Ufa,Krylya Sovetov Samara,Vladislav Bezborodov,0,2,1,2,6.28,6.61,21,8,0,0,3,2,9,3,9,3,58.8,41.2,646,501,80,71,474,333,380,235,14,8,4,6,7,10,6,4,57,60,21,21,50,50,28,14,14,28,7,19,13,23,6,4,54,83,12,31,11,5,8,6,13,17,16,3,0,1,5,8,4,0,yellow-card(24);penalty_scored(61);yellow-card(78),goal(27);goal(29);red-card(60)
2021/2022,regular,2021/8/26,16:30,Otkrytie Arena,2713,Spartak Moscow,PFC Sochi,Vitaliy Meshkov,0,0,1,2,6.47,6.69,15,10,0,0,2,3,6,5,7,2,58,42,720,561,82,72,517,384,425,275,13,5,13,7,23,11,7,13,57,64,31,15,67,33,26,20,20,26,7,25,14,38,7,13,50,66,13,22,11,14,7,3,43,0,15,3,1,0,8,9,2,6,yellow-card(38);goal(60);yellow-card(92);yellow-card(93),yellow-card(34);yellow-card(39);yellow-card(41);goal(66);goal(72);yellow-card(94)
2021/2022,regular,2021/8/26,18:30,Akhmat-Arena,7517,FK Akhmat,Arsenal Tula,Aleksei Suhoy,1,1,2,1,6.79,6.40,21,8,0,0,7,4,10,2,4,2,53.6,46.4,601,534,76,70,389,351,296,247,11,5,6,5,18,14,5,6,33,36,22,14,61,39,22,14,14,22,23,19,28,25,5,6,82,76,5,25,21,11,3,2,67,100,7,14,0,0,15,17,2,0,goal(31);yellow-card(35);yellow-card(63);yellow-card(84);goal(95),yellow-card(31);yellow-card(34);goal(38);yellow-card(80)
2021/2022,regular,2021/8/26,18:45,Saint Petersburg Stadium,998,Zenit,CSKA Moscow,Sergei Ivanov,0,0,1,0,6.84,6.53,15,10,0,2,6,2,5,5,4,3,58.1,41.9,776,596,86,79,602,435,515,342,11,7,11,7,24,9,7,11,46,78,17,19,47,53,13,23,23,13,9,19,16,30,7,11,56,63,6,20,15,9,8,3,88,100,6,7,0,0,6,12,3,2,yellow-card(78);goal(82),yellow-card(23);shot-on-post(27);shot-on-post(33);yellow-card(49)
2021/2022,regular,2021/8/27,14:30,Ekaterinburg Arena,496,Ural,FC Rostov,Artem Lyubimov,0,0,1,1,6.73,6.76,10,14,0,0,3,7,5,3,2,4,48.1,51.9,601,655,79,80,399,441,315,352,9,9,1,12,5,20,12,1,20,60,26,16,62,38,22,20,20,22,23,11,35,12,12,1,66,92,21,15,18,17,4,7,25,14,7,15,0,0,14,5,3,1,yellow-card(14);yellow-card(53);goal(81),goal(76);clearance-off-the-line(92)
2021/2022,regular,2021/8/27,16:30,Arena Khimki,510,Khimki,Nizhny Novgorod,Vladimir Moskalev,0,1,1,1,6.41,6.63,12,13,1,0,4,3,6,10,2,0,59.1,40.9,702,555,80,71,532,356,423,252,8,10,5,10,14,14,10,5,36,71,17,20,46,54,20,17,17,20,12,22,22,27,10,5,55,81,11,22,12,9,4,5,0,60,13,8,0,1,14,12,1,3,yellow-card(40);shot-on-post(44);yellow-card(45);penalty_scored(54);red-card(88),goal(35);yellow-card(76);yellow-card(80)
2021/2022,regular,2021/8/27,17:00,VTB Arena,2697,Dinamo Moscow,Lokomotiv Moscow,Kirill Levnikov,1,1,1,1,6.56,6.55,24,6,1,0,4,3,13,3,7,0,50.9,49.1,600,583,73,70,397,394,291,277,15,3,6,9,14,14,9,6,43,64,26,23,53,47,31,18,18,31,11,19,20,25,9,6,55,76,11,26,6,12,10,2,20,0,11,6,0,0,6,11,2,2,clearance-off-the-line(36);goal(41);yellow-card(46);shot-on-post(76),goal(23);yellow-card(29);yellow-card(33);yellow-card(91);second-yellow(94)
2021/2022,regular,2021/8/27,18:30,Krasnodar Stadium,491,FC Krasnodar,Rubin Kazan,Eugene Kukulyak,2,0,2,0,7.39,6.37,14,15,2,0,7,7,5,6,2,2,62.7,37.3,753,538,88,83,587,348,515,290,11,13,8,5,15,9,5,8,53,56,6,5,55,45,6,5,5,6,21,11,26,19,5,8,81,58,14,19,13,16,7,1,29,100,4,17,0,0,17,9,0,2,yellow-card(1);goal(12);goal(35);yellow-card(60);shot-on-post(63);shot-on-post(79),yellow-card(7);yellow-card(8)
