,VENUE,H_TEAM,LAT,LNG,LOCATION,CAPACITY
52,Municipal de Chap�n,Xerez,36.6893456,-6.1205197,"Jerez de la Frontera, Cádiz, Andalucía, Spain",20523
53,Municipal de Montilivi,Girona,42.13188830000001,-0.4247182,"Huesca, Huesca, Aragón, Spain",11810
54,Municipal de Riazor,Deportivo,43.3687184,-8.4174835,"A Coruña, A Coruña, Galicia, Spain",34889
55,Nuevo Los Cármenes,Granada,37.1529018,-3.5957356,"Granada, Granada, Andalucía, Spain",19336
56,Nuevo Mirandilla,Cadiz,36.50262683070327,-6.272842668674269,"Pl. de Madrid, s/n, 11010 Cádiz, Spain",20724
57,Ono Estadi,Mallorca,39.589952,2.63005,"Palma, Illes Balears, Illes Balears, Spain",23142
58,Power8 Stadium,Espanyol,41.34797349999999,2.0747653,"Cornellà de Llobregat, Barcelona, Catalunya, Spain",40000
59,RCDE Stadium,Espanyol,41.34797349999999,2.0747653,"Cornellà de Llobregat, Barcelona, Catalunya, Spain",40000
60,Ram?n S?nchez Pizju?n,Sevilla,37.3840655,-5.9706902,"Sevilla, Sevilla, Andalucía, Spain",12480
61,Ramón Sánchez Pizjuán,Sevilla,37.3840655,-5.9706902,"Sevilla, Sevilla, Andalucía, Spain",42714
62,Ramón Sánchez-Pizjuán,Sevilla,37.3840655,-5.9706902,"Sevilla, Sevilla, Andalucía, Spain",42714
63,Ramón de Carranza,Cadiz,36.502601,-6.2729285,"Cádiz, Cádiz, Andalucía, Spain",20724
64,Ramón-Sánchez Pizjuán,Sevilla,37.3840655,-5.9706902,"Sevilla, Sevilla, Andalucía, Spain",42714
65,Ram�n S�nchez Pizju�n,Sevilla,37.3840655,-5.9706902,"Sevilla, Sevilla, Andalucía, Spain",12480
66,Reale Arena,Real Sociedad,43.30140942488806,-1.9735450859606152,"1, Anoeta Pasalekua, 20014 Donostia, Gipuzkoa, Spain",39313
67,Reyno de Navarra,Osasuna,42.7966766,-1.6371204,"Pamplona, Navarra, Navarra, Spain",23576
68,Riazor,Deportivo,43.3687184,-8.4174835,"A Coruña, A Coruña, Galicia, Spain",34889
69,San Mamés,Athletic Bilbao,43.2641706,-2.9493416,"Bilbao, Vizcaya, País Vasco, Spain",53331
70,San Mam�s,Athletic Bilbao,43.2641706,-2.9493416,"Bilbao, Vizcaya, País Vasco, Spain",53331
71,Santiago Bernab?u,Real Madrid,40.4530387,-3.6883337,"Madrid, Madrid, Comunidad de Madrid, Spain",81044
72,Santiago Bernabéu,Real Madrid,40.4530387,-3.6883337,"Madrid, Madrid, Comunidad de Madrid, Spain",81044
73,Santiago Bernab�u,Real Madrid,40.4530387,-3.6883337,"Madrid, Madrid, Comunidad de Madrid, Spain",81044
74,Son Moix,Mallorca,39.5900842441344,2.6301143771452016,"Camí dels Reis, s/n, 07011 Palma, Illes Balears, Spain",23142
75,Vicente Calderón,Atletico,40.4017243,-3.7206352,"Madrid, Madrid, Comunidad de Madrid, Spain",54907
76,Vicente Calder�n,Atletico,40.4017243,-3.7206352,"Madrid, Madrid, Comunidad de Madrid, Spain",54907
77,Visit Mallorca Estadi,Mallorca,39.5900842441344,2.6301143771452016,"Camí dels Reis, s/n, 07011 Palma, Illes Balears, Spain",23142
78,Wanda Metropolitano,Atletico,40.43630994509151,-3.599481517940326,"Av. de Luis Aragonés, 4, 28022 Madrid, Spain",68456
