Season,Part,Date,Time,Venue,Attendance,H_Team,A_Team,Referee,H_HT_Goals,A_HT_Goals,H_FT_Goals,A_FT_Goals,H_Ratings,A_Ratings,H_ShotsTotal,A_ShotsTotal,H_ShotsOnPost,A_ShotsOnPost,H_ShotsOnTarget,A_ShotsOnTarget,H_ShotsOffTarget,A_ShotsOffTarget,H_ShotsBlocked,A_ShotsBlocked,H_Possession,A_Possession,H_Touches,A_Touches,H_PassSuccess,A_PassSuccess,H_PassesTotal,A_PassesTotal,H_PassesAccurate,A_PassesAccurate,H_PassesKey,A_PassesKey,H_DribblesWon,A_DribblesWon,H_DribblesAttempted,A_DribblesAttempted,H_DribbledPast,A_DribbledPast,H_DribbleSuccess,A_DribbleSuccess,H_AerialsWon,A_AerialsWon,H_AerialSuccess,A_AerialSuccess,H_OffensiveAerials,A_OffensiveAerials,H_DefensiveAerials,A_DefensiveAerials,H_TackleSuccessful,A_TackleSuccessful,H_TacklesTotal,A_TacklesTotal,H_TackleUnsuccesful,A_TackleUnsuccesful,H_TackleSuccess,A_TackleSuccess,H_Clearances,A_Clearances,H_Interceptions,A_Interceptions,H_CornersTotal,A_CornersTotal,H_CornerAccuracy,A_CornerAccuracy,H_Dispossessed,A_Dispossessed,H_Errors,A_Errors,H_FoulsCommited,A_FoulsCommited,H_OffsidesCaught,A_OffsidesCaught,H_Events,A_Events
2018/2019,regular,2019/4/01,20:15,Estádio Marcolino de Castro,2632,Feirense,Vitoria de Setubal,Rui Costa,0,0,0,1,6.38,6.80,16,9,0,0,3,3,10,5,3,1,54.7,45.3,576,486,71,63,370,305,262,193,9,5,3,3,7,8,3,3,43,38,25,28,47,53,21,32,32,21,14,12,17,15,3,3,82,80,23,20,11,9,5,5,60,40,8,9,0,0,13,16,1,2,red-card(75);yellow-card(82),yellow-card(7);goal(81);yellow-card(82)
2018/2019,regular,2019/4/05,20:30,Estádio do Dragão,39129,Porto,Boavista,Rui Costa,1,0,2,0,7.27,6.35,17,5,0,0,7,1,5,3,5,1,67.7,32.3,755,452,84,68,558,271,470,184,14,4,26,5,37,11,5,26,70,45,21,16,57,43,15,22,22,15,14,21,19,47,5,26,74,45,5,33,9,15,8,0,50,0,10,8,0,0,15,17,1,1,penalty_scored(41);goal(48),yellow-card(31);yellow-card(93)
2018/2019,regular,2019/4/06,15:30,Estádio da Madeira,2367,Nacional,Aves,Jorge Sousa,0,0,0,0,6.56,6.74,15,10,0,0,5,2,7,7,3,1,62.9,37.1,630,443,77,65,444,263,343,170,13,7,4,2,12,5,2,4,33,40,15,27,36,64,25,17,17,25,10,27,12,31,2,4,83,87,10,36,11,6,11,5,36,40,19,7,0,0,9,17,0,2,yellow-card(8);second-yellow(39);yellow-card(48),yellow-card(27);second-yellow(46)
2018/2019,regular,2019/4/06,15:30,Estádio do Jamor,1509,Belenenses SAD,Santa Clara,Carlos Xistra,1,1,1,1,6.50,6.35,7,15,0,0,2,1,2,8,3,6,50.6,49.4,599,565,84,84,452,431,379,364,7,8,7,4,9,8,4,7,78,50,9,9,50,50,9,9,9,9,9,15,13,22,4,7,69,68,15,3,13,4,1,2,0,50,13,5,0,0,13,17,1,1,goal(9);second-yellow(47),yellow-card(20);yellow-card(36);goal(40);yellow-card(60);yellow-card(70);yellow-card(87)
2018/2019,regular,2019/4/06,18:00,Estádio D. Afonso Henriques,12606,Vitoria de Guimaraes,Chaves,João Capela,3,0,4,0,7.57,6.05,13,17,1,0,6,5,5,5,2,7,57.1,42.9,651,516,83,79,465,326,385,257,11,11,9,8,16,11,8,9,56,73,22,13,63,37,17,17,18,18,17,15,25,24,8,9,68,63,22,12,6,14,4,9,50,11,8,14,0,0,12,14,1,0,goal(4);penalty_scored(11);goal(36);shot-on-post(46);goal(80),yellow-card(65)
2018/2019,regular,2019/4/06,20:30,Estádio Comendador Joaquim de Almeida Freitas,1502,Moreirense,Braga,Artur Manuel Soares Dias,0,0,1,0,6.83,6.46,8,6,0,1,2,2,3,3,3,1,41.4,58.6,545,677,70,73,327,480,228,352,7,4,10,3,17,12,3,10,59,25,18,24,43,57,18,24,24,18,17,29,20,39,3,10,85,74,24,18,8,16,8,7,25,0,22,8,0,1,18,11,2,6,goal(47);yellow-card(63),shot-on-post(9);error-to-goal(47);yellow-card(62)
2018/2019,regular,2019/4/07,15:00,Estádio do Bonfim,2702,Vitoria de Setubal,Maritimo,Manuel Oliveira,1,0,1,0,6.81,6.33,12,5,0,0,4,2,6,3,2,0,42.4,57.6,454,550,62,72,258,373,161,267,7,1,1,3,2,6,3,1,50,50,18,18,50,50,18,18,18,18,15,14,18,15,3,1,83,93,15,26,15,7,8,4,38,25,13,12,0,0,20,20,3,1,yellow-card(30);goal(37);yellow-card(70),yellow-card(77)
2018/2019,regular,2019/4/07,17:30,Estádio Marcolino de Castro,5449,Feirense,Benfica,João Pinheiro,1,2,1,4,6.24,7.16,6,18,0,0,1,7,3,7,2,4,42.1,57.9,531,670,77,82,347,488,266,398,3,11,7,6,12,12,6,7,58,50,13,17,43,57,21,9,9,21,16,20,22,27,6,7,73,74,24,19,22,11,3,5,0,40,15,10,1,1,14,11,2,6,goal(10);yellow-card(58);yellow-card(64),penalty_scored(40);goal(47);goal(49);goal(89)
2018/2019,regular,2019/4/07,20:00,Estádio José Alvalade,26198,Sporting,Rio Ave,Luís Godinho,2,0,3,0,7.14,6.08,12,8,0,0,5,3,3,4,4,1,48.9,51.1,637,671,87,89,484,504,420,447,10,6,2,7,3,9,7,2,67,78,9,8,53,47,7,10,10,7,20,10,27,12,7,2,74,83,15,22,7,7,7,4,29,25,9,18,0,1,20,10,4,3,goal(12);penalty_scored(36);goal(54),
2018/2019,regular,2019/3/29,20:30,Estádio Municipal de Portimão,2462,Portimonense,Moreirense,João Pinheiro,0,1,0,2,6.61,7.26,23,12,0,1,8,5,11,5,4,2,52.2,47.8,647,600,77,73,405,372,313,273,16,8,12,3,17,11,3,12,71,27,20,26,43,57,21,25,25,21,22,19,25,31,3,12,88,61,18,26,16,16,9,6,33,67,14,15,0,0,14,15,5,4,yellow-card(43);yellow-card(75);yellow-card(87),shot-on-post(16);goal(34);goal(60);yellow-card(82)
