Season,Part,Date,Time,Venue,Attendance,H_Team,A_Team,Referee,H_HT_Goals,A_HT_Goals,H_FT_Goals,A_FT_Goals,H_Ratings,A_Ratings,H_ShotsTotal,A_ShotsTotal,H_ShotsOnPost,A_ShotsOnPost,H_ShotsOnTarget,A_ShotsOnTarget,H_ShotsOffTarget,A_ShotsOffTarget,H_ShotsBlocked,A_ShotsBlocked,H_Possession,A_Possession,H_Touches,A_Touches,H_PassSuccess,A_PassSuccess,H_PassesTotal,A_PassesTotal,H_PassesAccurate,A_PassesAccurate,H_PassesKey,A_PassesKey,H_DribblesWon,A_DribblesWon,H_DribblesAttempted,A_DribblesAttempted,H_DribbledPast,A_DribbledPast,H_DribbleSuccess,A_DribbleSuccess,H_AerialsWon,A_AerialsWon,H_AerialSuccess,A_AerialSuccess,H_OffensiveAerials,A_OffensiveAerials,H_DefensiveAerials,A_DefensiveAerials,H_TackleSuccessful,A_TackleSuccessful,H_TacklesTotal,A_TacklesTotal,H_TackleUnsuccesful,A_TackleUnsuccesful,H_TackleSuccess,A_TackleSuccess,H_Clearances,A_Clearances,H_Interceptions,A_Interceptions,H_CornersTotal,A_CornersTotal,H_CornerAccuracy,A_CornerAccuracy,H_Dispossessed,A_Dispossessed,H_Errors,A_Errors,H_FoulsCommited,A_FoulsCommited,H_OffsidesCaught,A_OffsidesCaught,H_Events,A_Events
2016/2017,regular,2016/10/29,16:00,"Stadium Municipal, Toulouse",24141,Toulouse,Lyon,Benoît Millot,1,1,1,2,6.37,6.95,12,7,0,0,1,3,8,2,3,2,59.3,40.7,629,533,72,66,413,295,299,195,6,4,17,10,27,13,10,17,63,77,23,22,51,49,29,16,16,29,12,29,22,46,10,17,55,63,9,52,5,24,3,2,33,100,19,9,1,0,16,16,0,4,goal(26);yellow-card(32);yellow-card(35),penalty_scored(15);goal(52);yellow-card(54);second-yellow(56);yellow-card(93)
2016/2017,regular,2016/10/29,19:00,Stade Armand-Cesari,10048,SC Bastia,Dijon,Lionel Jaffredo,0,0,0,0,6.93,7.15,19,8,0,0,11,2,4,3,4,3,52.9,47.1,645,599,70,68,395,357,278,241,11,8,11,7,16,11,7,11,69,64,23,28,45,55,37,14,14,37,16,21,23,32,7,11,70,66,19,62,12,18,13,5,31,80,16,12,0,2,11,25,3,1,yellow-card(65),clearance-off-the-line(8);yellow-card(72)
2016/2017,regular,2016/10/29,19:00,Stade Municipal de Roudourou,15277,Guingamp,Angers,Sébastien Desiage,0,0,1,0,6.97,6.51,14,15,0,0,5,3,4,8,5,4,53.3,46.7,738,664,85,82,549,475,467,390,11,10,7,7,9,12,7,7,78,58,15,18,45,55,11,22,22,11,16,18,23,25,7,7,70,72,25,11,6,11,7,5,43,20,16,11,0,0,9,12,1,0,goal(78);yellow-card(93),yellow-card(44);yellow-card(55);yellow-card(56)
2016/2017,regular,2016/10/29,19:00,Stade Marcel-Picot,16896,Nancy,Caen,Tony Chapron,2,0,2,0,7.16,6.55,11,15,0,0,3,5,7,8,1,2,42.3,57.7,613,735,73,77,389,535,284,413,8,13,6,9,11,14,9,6,55,64,10,43,19,81,25,28,28,25,21,15,30,21,9,6,70,71,35,14,23,15,4,3,50,67,10,16,0,1,16,10,2,1,goal(6);goal(12);yellow-card(65);yellow-card(68);yellow-card(91),yellow-card(75);yellow-card(82);yellow-card(91)
2016/2017,regular,2016/10/29,19:00,Stade Geoffroy-Guichard,35890,Saint-Etienne,Monaco,Ruddy Buquet,1,1,1,1,6.78,6.66,8,13,0,0,2,6,3,4,3,3,43.1,56.9,584,679,75,80,353,454,264,364,4,8,7,5,17,10,5,7,41,50,9,6,60,40,7,8,8,7,18,23,23,30,5,7,78,77,40,27,20,19,4,9,25,22,13,13,2,0,11,15,2,4,goal(18),goal(5);yellow-card(49);yellow-card(52);yellow-card(58);yellow-card(81)
2016/2017,regular,2016/10/29,19:00,Stade du Moustoir,9872,Lorient,Montpellier,Jerome Miguelgorry,2,1,2,2,6.75,6.89,16,8,0,0,3,4,8,4,5,0,56.6,43.4,698,563,83,77,509,390,420,302,14,5,13,7,17,11,7,13,76,64,10,17,37,63,14,13,13,14,17,21,24,34,7,13,71,62,14,11,12,17,5,5,40,20,17,13,0,0,13,9,4,2,goal(16);goal(24);yellow-card(67);yellow-card(92),yellow-card(37);goal(47);goal(69);clearance-off-the-line(81)
2016/2017,regular,2016/10/30,14:00,Allianz Riviera,24418,Nice,Nantes,Sébastien Moreira,2,0,4,1,7.06,6.29,12,16,0,0,7,4,3,9,2,3,63.4,36.6,821,556,89,84,657,360,585,302,8,11,7,8,12,15,8,7,58,53,10,6,63,38,4,12,12,4,17,18,25,25,8,7,68,72,9,14,8,18,2,4,50,50,13,10,1,0,12,19,2,5,goal(9);goal(27);error-to-goal(47);goal(60);yellow-card(63);goal(65),yellow-card(31);yellow-card(38);goal(47);yellow-card(53)
2016/2017,regular,2016/10/30,16:00,Roazhon Park,20874,Rennes,Metz,Said Ennjimi,0,0,1,0,6.99,6.69,10,8,0,0,4,2,4,4,2,2,55.7,44.3,720,626,81,76,505,398,409,304,7,4,12,17,17,22,17,12,71,77,22,26,46,54,18,30,30,18,15,21,32,33,17,12,47,64,23,26,12,21,3,4,33,75,16,10,1,0,9,17,1,3,goal(56),yellow-card(11);yellow-card(13);yellow-card(75)
2016/2017,regular,2016/10/30,19:45,Stade Vélodrome,57091,Marseille,Bordeaux,Nicolas Rainville,0,0,0,0,6.65,6.73,10,5,0,0,3,1,5,4,2,0,59.7,40.3,788,592,87,81,611,422,531,343,9,3,9,8,17,13,8,9,53,62,9,9,50,50,7,11,11,7,17,18,25,27,8,9,68,67,5,29,14,14,3,0,33,0,10,12,1,0,13,8,2,2,yellow-card(57),yellow-card(39)
2016/2017,regular,2016/10/21,19:45,Stade Louis II,7619,Monaco,Montpellier,Amaury Delerue,1,1,6,2,7.26,6.03,14,9,0,0,9,3,1,5,4,1,59.6,40.4,707,537,84,74,506,346,425,255,9,4,7,8,15,10,8,7,47,80,22,9,71,29,11,20,20,11,10,18,18,25,8,7,56,72,22,28,16,13,6,2,50,50,10,8,0,2,14,10,5,3,yellow-card(8);penalty_scored(36);goal(49);goal(64);yellow-card(72);goal(74);goal(76);goal(89),goal(9);penalty_scored(61);error-to-goal(64);error-to-goal(76)
