Season,Part,Date,Time,Venue,Attendance,H_Team,A_Team,Referee,H_HT_Goals,A_HT_Goals,H_FT_Goals,A_FT_Goals,H_Ratings,A_Ratings,H_ShotsTotal,A_ShotsTotal,H_ShotsOnPost,A_ShotsOnPost,H_ShotsOnTarget,A_ShotsOnTarget,H_ShotsOffTarget,A_ShotsOffTarget,H_ShotsBlocked,A_ShotsBlocked,H_Possession,A_Possession,H_Touches,A_Touches,H_PassSuccess,A_PassSuccess,H_PassesTotal,A_PassesTotal,H_PassesAccurate,A_PassesAccurate,H_PassesKey,A_PassesKey,H_DribblesWon,A_DribblesWon,H_DribblesAttempted,A_DribblesAttempted,H_DribbledPast,A_DribbledPast,H_DribbleSuccess,A_DribbleSuccess,H_AerialsWon,A_AerialsWon,H_AerialSuccess,A_AerialSuccess,H_OffensiveAerials,A_OffensiveAerials,H_DefensiveAerials,A_DefensiveAerials,H_TackleSuccessful,A_TackleSuccessful,H_TacklesTotal,A_TacklesTotal,H_TackleUnsuccesful,A_TackleUnsuccesful,H_TackleSuccess,A_TackleSuccess,H_Clearances,A_Clearances,H_Interceptions,A_Interceptions,H_CornersTotal,A_CornersTotal,H_CornerAccuracy,A_CornerAccuracy,H_Dispossessed,A_Dispossessed,H_Errors,A_Errors,H_FoulsCommited,A_FoulsCommited,H_OffsidesCaught,A_OffsidesCaught,H_Events,A_Events
2013/2014,regular,2014/2/09,14:00,Olimpico,0,Lazio,Roma,Daniele Orsato,0,0,0,0,6.85,6.82,3,14,0,0,0,4,2,9,1,1,34.4,65.6,428,683,64,82,253,505,161,414,3,13,8,7,13,24,7,8,62,29,8,12,40,60,16,3,4,17,25,20,32,28,7,8,78,71,38,43,16,3,6,6,33,33,15,8,0,0,20,10,1,1,yellow-card(38);yellow-card(64);yellow-card(67),yellow-card(19);yellow-card(93)
2013/2014,regular,2014/2/09,14:00,Armando Picchi,9470,Livorno,Genoa,Andrea Gervasoni,0,1,0,1,6.62,6.95,18,6,0,0,5,2,8,2,5,2,53.9,46.1,599,567,76,75,423,377,320,281,13,5,14,7,19,19,7,14,74,37,15,10,60,40,15,10,10,15,23,16,30,30,7,14,77,53,22,50,12,14,10,1,60,100,11,11,0,1,20,20,2,4,yellow-card(14);yellow-card(33);yellow-card(41);yellow-card(55);red-card(74),goal(10);yellow-card(45);yellow-card(75);yellow-card(83);clearance-off-the-line(93)
2013/2014,regular,2014/2/09,14:00,Marc'Antonio Bentegodi,25140,Verona,Juventus,Daniele Doveri,0,2,2,2,6.89,6.75,11,14,0,1,3,5,4,4,4,5,30.7,69.3,458,812,73,86,292,663,213,573,5,12,6,7,7,14,7,6,86,50,12,10,55,45,15,7,7,15,23,20,30,26,7,6,77,77,28,15,28,7,3,9,33,33,19,16,0,0,10,19,1,2,goal(52);yellow-card(83);yellow-card(91);goal(94),goal(4);goal(21);shot-on-post(68)
2013/2014,regular,2014/2/09,19:45,Giuseppe Meazza,0,Inter,Sassuolo,Sebastiano Peruzzo,0,0,1,0,7.14,6.69,16,3,1,0,7,1,7,2,2,0,57.9,42.1,657,538,81,76,479,354,390,268,12,2,13,1,15,11,1,13,87,9,24,11,69,31,18,17,17,18,17,21,18,34,1,13,94,62,18,41,11,23,10,3,50,33,19,7,0,0,13,14,4,0,shot-on-post(20);goal(48);yellow-card(68),yellow-card(55)
2013/2014,regular,2014/2/01,17:00,Sant'Elia,4798,Cagliari,Fiorentina,Paolo Silvio Mazzoleni,1,0,1,0,6.91,6.65,13,14,0,0,6,3,3,6,4,5,38,62,468,696,71,83,315,511,224,424,8,8,3,9,7,17,9,3,43,53,10,12,45,55,16,7,6,15,16,14,25,17,9,3,64,82,32,33,18,15,2,7,100,14,10,8,0,1,22,17,3,4,penalty_scored(39);yellow-card(40);yellow-card(45),yellow-card(43)
2013/2014,regular,2014/2/01,17:00,Renato Dall'Ara,15227,Bologna,Udinese,Gianpaolo Calvarese,0,1,0,2,6.45,7.14,16,6,0,0,1,3,11,1,4,2,58.5,41.5,677,540,75,67,495,369,372,248,14,4,5,3,8,16,3,5,63,19,33,27,55,45,35,25,25,35,18,17,21,22,3,5,86,77,26,58,16,23,5,5,40,20,14,5,0,0,8,18,1,0,yellow-card(22);yellow-card(50);yellow-card(86),yellow-card(4);penalty_scored(15);yellow-card(22);yellow-card(67);yellow-card(82);goal(92)
2013/2014,regular,2014/2/01,19:45,Giuseppe Meazza,35200,AC Milan,Torino,Antonio Damato,0,1,1,1,6.69,6.92,23,6,0,0,6,2,5,3,12,1,62.1,37.9,738,542,88,77,563,354,496,274,19,5,5,10,14,14,10,5,36,71,11,8,58,42,8,11,11,8,14,28,24,33,10,5,58,85,17,48,14,11,13,3,54,67,19,10,0,0,14,12,2,3,goal(49);yellow-card(78);yellow-card(81),goal(17);yellow-card(74);yellow-card(76)
2013/2014,regular,2014/2/02,14:00,Marc'Antonio Bentegodi,5000,Chievo,Lazio,Carmine Russo,0,1,0,2,6.23,7.39,11,12,0,0,0,6,5,3,6,3,49.6,50.4,614,642,79,80,472,475,372,382,7,11,8,10,9,10,10,8,89,100,6,11,35,65,9,8,8,9,10,27,20,35,10,8,50,77,20,34,16,20,5,6,80,50,26,10,1,0,14,9,1,0,yellow-card(64);yellow-card(74),goal(6);yellow-card(61);goal(70)
2013/2014,regular,2014/2/02,14:00,Angelo Massimino,16084,Catania,Livorno,Mauro Bergonzi,0,0,3,3,6.73,6.88,15,17,0,0,6,7,4,7,5,3,57.8,42.2,613,498,77,68,440,334,337,227,12,9,9,10,18,19,10,9,50,53,13,23,36,64,18,18,18,18,18,24,28,33,10,9,64,73,34,33,7,11,4,2,75,100,15,10,1,0,26,17,1,4,yellow-card(36);yellow-card(51);goal(61);yellow-card(71);goal(75);error-to-goal(77);goal(88);yellow-card(89);yellow-card(92),yellow-card(20);goal(50);penalty_scored(72);yellow-card(77);goal(77);yellow-card(80);yellow-card(90);yellow-card(92)
2013/2014,regular,2014/2/02,14:00,Atleti Azzurri d'Italia,12503,Atalanta,Napoli,Nicola Rizzoli,0,0,3,0,7.40,5.98,10,16,0,0,3,3,4,8,3,5,41.4,58.6,516,665,66,80,362,506,239,407,8,15,8,7,12,18,7,8,67,39,23,24,49,51,31,16,16,31,19,5,26,13,7,8,73,38,23,31,18,14,1,6,0,50,1,8,0,4,14,17,4,1,goal(47);goal(64);goal(70),error-to-goal(47);error-to-goal(47);error-to-goal(64);yellow-card(66);yellow-card(67);error-to-goal(70)
