,VENUE,H_TEAM,LAT,LNG,LOCATION,MANUAL_ENTRY_x,CAPACITY,MANUAL_ENTRY_y
45,Olimpico,Roma,41.9341008999462,12.454853746825064,"Viale dei Gladiatori, 00135 Roma RM, Italy",True,70634,False
46,Olimpico Grande Torino,Frosinone,45.0418233,7.650052199999999,"Torino, Torino, Città Metropolitana di Torino, Piemonte, Italy",False,27958,False
47,Olimpico Grande Torino,Juventus,45.0418233,7.650052199999999,"Torino, Torino, Città Metropolitana di Torino, Piemonte, Italy",False,27958,False
48,Olimpico Grande Torino,Torino,45.0418233,7.650052199999999,"Torino, Torino, Città Metropolitana di Torino, Piemonte, Italy",False,27958,False
49,Olimpico di Torino,Juventus,45.0418233,7.650052199999999,"Torino, Torino, Città Metropolitana di Torino, Piemonte, Italy",False,14350,False
50,Olimpico di Torino,Torino,45.0418233,7.650052199999999,"Torino, Torino, Città Metropolitana di Torino, Piemonte, Italy",False,14350,False
51,Paolo Mazza,SPAL 2013,44.8401734,11.607966,"Ferrara, Ferrara, Provincia di Ferrara, Emilia-Romagna, Italy",False,16134,False
52,Pier Luigi Penzo,Venezia,45.4277687,12.3639784,"Venezia, Venezia, Città Metropolitana di Venezia, Veneto, Italy",False,11150,False
53,Renato Dall'Ara,Bologna,44.4921623,11.3099448,"Bologna, Bologna, Città Metropolitana di Bologna, Emilia-Romagna, Italy",False,31070,False
54,Renato Dall'Ara,SPAL 2013,44.4921623,11.3099448,"Bologna, Bologna, Città Metropolitana di Bologna, Emilia-Romagna, Italy",False,31070,False
55,Renzo Barbera,Palermo FC,38.1527423,13.3422089,"Palermo, Palermo, Città metropolitana di Palermo, Sicilia, Italy",False,36365,False
56,San Nicola,Bari,41.08480366832217,16.84013827154802,"Strada Torrebella, 70124 Bari BA, Italy",True,58270,True
57,San Paolo,Napoli,40.82786325890488,14.193136196423504,"Via Giambattista Marino, 80125 Napoli NA, Italy",True,54726,False
58,Sant'Elia,Cagliari,39.19941344413512,9.135128785994349,"Via Amerigo Vespucci, 09126 Cagliari CA, Italy",True,40919,False
59,Sardegna Arena,Cagliari,39.199663,9.1373953,"Cagliari, Cagliari, Città Metropolitana di Cagliari, Sardegna, Italy",False,16416,False
60,Silvio Piola,Novara,45.43585705354908,8.596527144434857,"Viale Marmo, 8, 28100 Novara NO, Italy",False,17875,True
61,Unipol Domus,Cagliari,39.199663,9.1373953,"Cagliari, Cagliari, Città Metropolitana di Cagliari, Sardegna, Italy",False,16416,False
62,Via Del Mare,Lecce,40.3651295,18.2089772,"Lecce, Provincia di Lecce, Puglia, Italy",False,40670,False
